age,d13c,d18o
26.363,0.752,1.469
26.363,0.660,1.930
26.368,0.553,2.110
26.369,0.435,1.735
26.373,0.776,1.664
26.378,0.404,1.825
26.382,0.749,1.788
26.388,0.366,1.605
26.395,0.699,1.663
26.401,1.119,1.625
26.408,0.586,2.019
26.415,0.586,1.976
26.419,0.545,1.862
26.426,0.555,1.919
26.431,0.295,1.712
26.433,0.473,1.916
26.438,0.834,1.853
26.445,0.685,1.718
26.448,0.719,1.463
26.453,0.958,1.765
26.460,0.364,1.270
26.463,0.695,1.865
26.463,0.170,1.990
26.465,0.620,1.535
26.468,0.777,1.917
26.470,0.518,1.730
26.478,0.354,1.198
26.485,0.467,1.516
26.490,0.754,1.338
26.492,0.960,1.423
26.494,0.717,1.330
26.499,0.293,1.593
26.505,0.350,2.040
26.506,-0.003,1.487
26.509,0.436,1.615
26.516,0.655,1.579
26.520,0.273,1.383
26.520,0.452,1.250
26.524,0.875,1.915
26.526,0.351,1.885
26.526,0.499,1.951
26.527,0.923,2.208
26.529,0.718,1.957
26.531,0.560,1.694
26.532,0.820,1.952
26.532,0.729,2.014
26.532,1.143,2.093
26.534,0.650,1.780
26.535,0.801,1.899
26.535,0.630,1.863
26.542,0.922,1.942
26.542,0.868,2.056
26.542,0.550,2.151
26.545,0.571,1.629
26.550,0.908,1.866
26.551,0.481,1.873
26.551,0.758,1.751
26.556,0.460,2.031
26.559,0.609,2.280
26.563,0.800,1.670
26.566,0.630,2.015
26.566,0.550,
26.572,0.378,1.618
26.575,0.305,1.795
26.577,0.646,1.628
26.584,0.801,1.850
26.584,0.643,1.976
26.587,0.543,1.303
26.591,0.213,1.246
26.592,0.663,2.115
26.594,0.228,1.374
26.598,0.479,1.624
26.598,0.461,2.061
26.600,0.213,1.965
26.602,0.540,2.256
26.602,0.196,2.205
26.602,0.445,1.948
26.606,0.971,2.095
26.607,0.701,2.239
26.607,0.861,2.194
26.607,0.722,1.833
26.611,0.931,2.327
26.611,0.636,2.151
26.612,0.941,2.000
26.614,0.808,1.844
26.615,0.420,2.054
26.616,0.787,1.781
26.623,0.752,1.564
26.624,0.852,1.985
26.624,0.834,1.891
26.631,0.607,1.578
26.631,0.711,1.665
26.639,0.775,1.754
26.641,0.797,2.013
26.641,0.579,2.215
26.647,0.742,1.549
26.649,0.680,1.721
26.649,0.580,1.775
26.649,0.891,2.380
26.649,0.589,1.916
26.654,0.570,1.750
26.655,0.832,1.565
26.655,0.760,1.848
26.664,0.712,1.874
26.664,0.623,2.150
26.664,0.580,1.673
26.669,0.490,1.443
26.672,0.916,1.731
26.672,0.545,1.517
26.675,0.736,1.631
26.675,0.615,1.599
26.679,0.641,1.996
26.679,0.541,2.126
26.679,0.622,1.861
26.681,0.768,1.545
26.681,0.708,1.743
26.686,0.538,1.495
26.686,0.619,1.772
26.690,0.427,1.769
26.690,0.770,1.825
26.693,1.011,1.576
26.693,0.381,1.909
26.696,0.979,1.630
26.700,0.940,1.715
26.700,0.899,1.836
26.704,0.896,1.542
26.705,0.634,1.552
26.705,0.590,1.420
26.709,0.802,1.470
26.711,0.607,1.499
26.711,0.620,1.251
26.713,0.694,1.798
26.732,1.162,2.079
26.732,1.162,2.079
26.733,0.874,1.710
26.733,0.835,1.935
26.737,0.825,1.874
26.737,1.064,2.084
26.741,0.876,2.004
26.741,0.650,2.047
26.741,0.649,1.906
26.745,0.588,1.797
26.751,0.826,2.028
26.756,0.714,2.329
26.762,0.777,1.958
26.770,0.909,1.993
26.774,1.080,2.163
26.774,0.908,2.053
26.778,1.076,2.165
26.782,0.815,2.082
26.784,0.812,2.130
26.784,0.746,2.248
26.788,0.906,2.134
26.792,0.998,2.041
26.796,0.620,2.190
26.800,0.576,2.460
26.803,1.072,2.034
26.804,0.731,2.328
26.808,0.878,2.107
26.812,1.072,1.992
26.816,0.664,2.151
26.820,0.655,1.950
26.820,0.434,2.090
26.824,0.899,2.055
26.824,0.997,2.272
26.827,0.806,2.099
26.830,0.800,1.970
26.830,0.718,2.011
26.835,0.508,1.845
26.835,0.505,2.111
26.844,0.794,1.903
26.844,0.794,2.011
26.852,0.800,1.560
26.852,0.880,1.854
26.857,0.678,1.597
26.857,0.717,1.828
26.863,0.703,2.303
26.866,0.947,2.150
26.879,0.388,1.674
26.882,0.668,1.842
26.893,0.640,1.877
26.893,0.544,1.948
26.899,0.795,2.043
26.899,0.953,2.198
26.902,1.018,2.252
26.906,1.020,2.226
26.906,0.836,2.362
26.909,0.807,
26.910,0.849,2.270
26.913,1.002,2.144
26.916,0.816,2.139
26.920,0.878,1.588
26.923,0.743,1.881
26.926,0.460,1.880
26.926,0.550,1.621
26.926,0.613,1.826
26.930,0.597,1.720
26.933,0.769,1.814
26.937,0.893,1.874
26.940,0.815,1.809
26.944,0.983,1.709
26.948,0.983,1.847
26.951,0.941,1.697
26.964,0.280,1.405
26.976,0.959,1.619
26.983,0.511,1.945
26.985,0.716,1.807
26.990,0.350,1.660
26.999,0.764,1.944
27.002,0.525,1.828
27.002,0.799,1.904
27.009,0.871,2.070
27.010,0.583,2.075
27.010,0.643,2.098
27.014,0.847,2.117
27.021,0.858,1.705
27.024,0.678,2.284
27.027,0.491,2.050
27.027,0.666,2.280
27.027,0.666,2.280
27.027,0.666,2.280
27.027,0.666,2.280
27.027,0.666,2.280
27.027,0.870,2.032
27.031,0.887,2.169
27.031,0.810,2.041
27.035,0.550,1.980
27.043,0.644,1.994
27.043,0.732,1.983
27.056,0.577,1.861
27.068,0.587,1.756
27.082,0.629,1.713
27.090,0.596,2.012
27.091,0.593,2.108
27.096,0.772,1.961
27.102,0.449,2.071
27.104,0.670,2.033
27.110,0.821,1.901
27.123,0.510,2.000
27.127,0.967,2.277
27.133,1.095,2.044
27.141,0.796,1.967
27.154,0.468,1.715
27.159,,1.710
27.170,0.580,2.163
27.183,0.493,2.006
27.194,0.644,1.829
27.202,0.930,1.682
27.206,0.530,1.630
27.207,0.537,1.901
27.209,0.421,1.905
27.210,0.450,2.087
27.210,0.541,2.062
27.214,0.523,1.956
27.216,0.614,1.910
27.218,0.843,1.865
27.221,0.658,2.077
27.224,0.752,1.765
27.225,0.610,1.680
27.228,0.258,1.771
27.235,0.010,1.686
27.238,0.339,1.853
27.244,0.456,1.382
27.245,0.594,1.463
27.250,0.392,1.475
27.257,0.574,1.513
27.260,0.685,2.044
27.264,0.649,1.984
27.271,0.579,1.421
27.275,0.417,1.306
27.283,0.613,1.920
27.296,0.566,1.929
27.296,0.546,1.789
27.300,0.374,2.023
27.302,0.380,1.440
27.303,0.320,1.987
27.307,0.404,2.098
27.308,0.430,
27.310,0.434,1.993
27.314,0.447,1.779
27.318,0.431,1.686
27.323,0.348,1.579
27.338,0.448,2.044
27.347,0.232,1.515
27.354,0.334,1.733
27.359,0.370,1.350
27.364,0.217,1.365
27.370,0.260,1.823
27.372,,1.540
27.375,0.575,2.160
27.379,0.804,1.876
27.384,0.978,1.790
27.388,0.510,1.730
27.399,0.711,1.905
27.412,0.530,1.844
27.413,0.510,1.830
27.417,0.655,1.851
27.417,0.505,1.751
27.424,0.746,1.831
27.431,0.683,1.900
27.431,0.548,2.061
27.432,0.670,1.700
27.437,0.428,1.354
27.447,0.588,1.621
27.450,0.708,1.595
27.453,0.737,1.807
27.462,0.598,1.475
27.470,0.603,1.521
27.471,0.467,1.340
27.471,0.602,1.346
27.482,0.598,1.728
27.491,0.921,2.041
27.491,0.640,2.136
27.492,0.630,
27.497,0.796,1.919
27.497,0.733,1.929
27.500,0.867,1.913
27.500,0.753,1.691
27.502,0.680,1.610
27.504,0.778,2.187
27.504,0.754,1.900
27.504,0.804,1.910
27.511,0.443,2.044
27.515,0.587,1.766
27.515,0.635,1.785
27.515,0.543,1.747
27.516,0.680,1.470
27.520,0.658,1.765
27.520,0.705,2.079
27.528,0.763,1.991
27.528,0.737,1.620
27.529,0.630,1.470
27.532,0.785,1.868
27.532,0.900,1.830
27.533,0.671,1.840
27.533,0.550,1.551
27.535,0.637,1.402
27.535,0.761,2.152
27.536,0.631,1.921
27.539,0.617,2.046
27.539,0.628,2.215
27.542,0.770,2.010
27.544,0.788,2.106
27.545,0.600,2.013
27.546,0.807,1.737
27.546,0.829,1.739
27.546,0.837,2.147
27.548,0.738,1.649
27.552,0.468,1.543
27.552,0.440,1.882
27.559,0.423,1.728
27.559,0.558,2.138
27.560,0.401,1.538
27.560,0.733,1.937
27.560,0.637,1.967
27.563,0.557,1.959
27.564,0.530,1.816
27.564,0.317,1.746
27.566,0.392,1.618
27.568,0.210,1.770
27.569,0.292,1.805
27.569,0.405,2.014
27.572,0.490,1.730
27.572,0.455,2.097
27.576,0.658,1.882
27.586,0.644,2.069
27.598,0.510,1.810
27.598,0.657,1.651
27.608,0.464,1.583
27.610,0.298,1.886
27.615,0.558,2.187
27.615,0.276,2.233
27.619,0.477,1.961
27.619,0.505,1.936
27.631,0.521,1.728
27.646,0.430,1.710
27.646,0.609,1.724
27.662,0.483,1.748
27.678,0.480,1.923
27.690,0.421,2.291
27.695,0.276,1.993
27.695,0.411,2.312
27.701,0.439,1.919
27.703,0.261,2.300
27.708,0.317,1.662
27.708,0.581,2.331
27.722,0.139,1.393
27.722,0.041,1.086
27.723,0.457,1.775
27.728,0.252,1.256
27.729,0.466,1.849
27.735,0.449,1.483
27.739,0.027,1.594
27.742,0.360,
27.746,0.114,1.565
27.749,0.292,1.577
27.759,0.176,1.535
27.764,0.184,1.682
27.768,0.396,1.482
27.768,0.823,1.717
27.772,0.518,1.386
27.772,0.656,1.657
27.776,0.546,2.035
27.780,0.363,1.396
27.785,0.574,2.114
27.785,0.485,2.186
27.798,0.699,1.842
27.809,0.556,2.033
27.809,0.714,1.821
27.821,0.592,2.057
27.825,0.640,1.810
27.834,0.353,1.581
27.884,0.991,1.784
27.884,0.680,2.000
27.889,0.670,1.830
27.896,0.277,2.223
27.912,0.586,1.948
27.917,0.593,2.180
27.925,0.552,1.999
27.925,0.454,1.831
27.938,0.799,2.119
27.940,0.717,2.017
27.943,0.890,2.264
27.943,0.560,2.008
27.947,0.729,2.162
27.951,0.793,2.253
27.960,0.891,1.850
27.960,0.570,1.850
27.975,0.763,1.783
27.986,0.674,1.868
28.000,0.278,1.489
28.008,0.258,1.790
28.019,0.436,1.598
28.026,0.399,1.614
28.028,0.294,1.728
28.031,0.802,1.814
28.035,0.622,1.768
28.046,0.481,1.780
28.058,0.427,1.820
28.070,0.357,1.785
28.075,0.165,1.774
28.077,0.368,2.194
28.078,0.134,1.750
28.084,0.825,1.905
28.089,0.266,1.605
28.096,0.110,1.650
28.097,0.053,1.679
28.097,0.010,1.578
28.100,0.267,2.012
28.100,0.008,2.044
28.104,0.466,1.852
28.109,0.549,1.455
28.112,0.148,1.503
28.113,0.180,1.470
28.113,0.442,1.685
28.115,0.405,1.355
28.122,0.136,1.475
28.128,0.136,1.842
28.129,0.270,1.820
28.131,0.302,1.772
28.134,0.429,1.442
28.134,0.259,1.578
28.137,0.368,1.324
28.137,0.220,1.298
28.146,0.338,2.069
28.153,0.072,1.731
28.155,0.210,1.660
28.156,-0.008,1.543
28.160,0.143,1.456
28.164,0.316,1.462
28.173,0.573,2.008
28.185,0.565,1.861
28.185,0.401,1.627
28.190,0.330,1.650
28.194,0.367,1.815
28.201,0.426,1.495
28.204,0.335,1.145
28.211,0.154,1.430
28.211,0.301,1.463
28.220,0.427,2.057
28.226,0.340,1.647
28.229,0.070,1.792
28.237,0.182,1.500
28.237,0.338,1.233
28.240,0.783,1.667
28.250,0.376,1.819
28.252,0.378,1.769
28.252,0.078,1.758
28.253,0.499,1.770
28.259,0.331,1.896
28.260,0.380,1.430
28.261,0.750,1.970
28.268,0.424,1.461
28.272,0.636,1.982
28.276,0.384,1.421
28.281,0.451,1.881
28.287,0.490,1.963
28.293,0.461,2.147
28.294,0.650,1.690
28.296,0.963,2.045
28.304,0.565,2.035
28.313,0.544,1.918
28.326,0.445,1.838
28.339,0.470,2.030
28.352,0.375,2.050
28.352,0.300,1.930
28.364,0.781,1.855
28.377,0.596,1.819
28.383,0.347,1.919
28.386,0.325,1.634
28.390,0.316,1.875
28.393,0.377,1.803
28.396,0.538,1.446
28.399,0.403,1.171
28.402,0.480,1.409
28.405,0.520,1.537
28.407,0.400,1.980
28.408,0.494,1.592
28.411,0.364,1.609
28.419,0.727,1.947
28.425,0.639,1.683
28.430,0.622,1.537
28.433,0.641,1.528
28.434,0.500,1.670
28.439,0.242,1.408
28.444,0.225,1.857
28.456,0.445,1.705
28.457,0.500,1.530
28.460,0.359,2.027
28.469,0.354,1.543
28.471,0.412,1.326
28.474,0.056,1.563
28.476,0.267,1.796
28.476,0.460,1.760
28.484,0.149,1.685
28.487,0.170,1.894
28.491,0.421,1.554
28.498,0.426,1.743
28.503,0.649,1.543
28.503,0.649,1.543
28.503,0.649,1.543
28.503,0.649,1.543
28.504,0.275,1.669
28.506,0.353,1.605
28.509,-0.025,1.814
28.511,0.120,1.599
28.516,-0.003,1.474
28.525,0.264,1.792
28.528,0.420,1.480
28.539,0.283,1.670
28.557,0.057,1.372
28.557,0.070,1.283
28.569,0.272,2.062
28.573,0.083,1.831
28.576,0.150,1.770
28.580,-0.138,1.878
28.584,0.041,1.186
28.587,0.227,1.485
28.591,0.072,1.451
28.595,0.195,1.504
28.599,0.070,1.812
28.603,-0.183,1.992
28.604,0.102,1.814
28.607,0.062,1.684
28.609,0.414,1.433
28.614,0.602,1.665
28.623,0.375,1.694
28.625,0.267,1.666
28.627,0.100,1.740
28.628,0.006,1.734
28.630,0.177,1.658
28.631,0.261,1.598
28.631,-0.062,1.724
28.633,0.095,1.774
28.633,0.101,1.929
28.634,0.233,2.129
28.634,0.444,1.832
28.635,0.474,1.289
28.638,0.259,1.523
28.638,0.274,1.612
28.641,0.322,1.924
28.644,0.311,1.925
28.647,0.231,1.994
28.650,0.603,1.842
28.652,0.283,1.737
28.657,0.366,1.788
28.663,0.487,1.918
28.664,0.464,2.138
28.664,0.029,1.869
28.667,0.139,1.683
28.668,0.140,
28.670,0.167,1.613
28.673,0.171,1.628
28.680,0.200,1.498
28.685,0.450,1.800
28.691,0.467,1.635
28.691,0.453,1.836
28.702,0.521,1.603
28.712,0.674,1.743
28.722,0.201,1.931
28.735,0.576,2.036
28.742,0.620,1.770
28.748,0.312,1.726
28.759,0.594,1.896
28.772,0.428,1.761
28.776,0.253,1.755
28.776,0.409,1.990
28.787,0.468,1.863
28.792,0.550,1.620
28.793,0.388,1.688
28.798,0.471,1.713
28.801,0.072,1.717
28.801,0.176,1.799
28.809,0.598,1.954
28.820,0.411,1.626
28.822,0.575,1.614
28.825,0.401,1.801
28.825,0.255,1.912
28.832,0.482,1.692
28.836,0.409,1.902
28.842,0.109,1.634
28.852,0.591,2.001
28.857,0.256,1.850
28.859,0.207,1.798
28.866,0.253,1.588
28.870,0.115,1.873
28.873,0.404,2.009
28.876,0.152,1.828
28.878,0.340,1.860
28.881,0.277,1.886
28.887,0.678,2.327
28.894,0.697,1.966
28.901,0.682,2.400
28.905,0.299,1.969
28.909,0.266,1.714
28.909,0.476,1.900
28.912,0.229,1.836
28.917,0.149,1.736
28.923,0.591,2.011
28.924,0.232,1.876
28.928,0.772,1.713
28.930,0.368,1.751
28.930,0.192,1.518
28.931,0.563,1.443
28.931,0.513,1.550
28.936,0.555,1.755
28.939,0.415,1.792
28.943,0.574,1.670
28.945,0.420,
28.952,0.063,1.385
28.961,0.378,1.614
28.967,0.486,2.048
28.973,0.317,1.607
28.978,0.450,1.590
28.979,0.454,1.644
28.990,0.542,2.034
28.994,0.512,2.189
28.994,0.435,1.742
28.997,0.511,2.031
29.007,0.568,1.723
29.009,0.730,1.672
29.016,0.528,2.057
29.021,0.509,1.757
29.028,0.364,1.169
29.031,0.269,1.378
29.034,0.570,1.620
29.036,0.679,2.051
29.039,0.522,2.092
29.042,0.266,1.843
29.042,0.211,1.868
29.046,0.291,1.762
29.050,0.364,1.786
29.052,,1.862
29.053,0.397,1.900
29.056,0.465,1.658
29.060,0.393,1.942
29.071,0.426,1.440
29.072,0.676,1.583
29.073,0.412,1.471
29.079,0.236,1.810
29.085,0.482,2.065
29.087,0.471,2.081
29.090,0.102,2.099
29.093,0.550,1.870
29.097,0.637,1.984
29.104,0.389,1.973
29.107,0.463,1.958
29.111,0.428,1.908
29.118,0.350,1.654
29.119,0.450,1.610
29.120,0.450,1.610
29.126,0.100,1.761
29.132,0.570,2.289
29.140,0.340,1.648
29.147,0.358,1.743
29.150,,1.464
29.152,0.477,1.745
29.160,0.393,2.032
29.163,0.226,1.959
29.167,0.501,2.284
29.169,0.487,2.121
29.170,0.559,1.483
29.180,0.566,1.982
29.186,0.364,2.059
29.190,0.498,1.948
29.196,0.193,1.353
29.198,0.390,1.620
29.198,0.390,1.620
29.201,0.272,1.472
29.202,0.530,1.450
29.204,0.484,1.692
29.212,0.268,1.522
29.218,0.250,1.287
29.223,0.349,1.413
29.228,0.270,1.690
29.230,0.152,1.851
29.237,-0.007,1.567
29.246,0.418,1.915
29.249,0.383,1.743
29.249,0.516,1.908
29.258,0.458,1.564
29.258,0.608,1.686
29.258,0.608,1.686
29.258,0.608,1.686
29.258,0.608,1.686
29.258,0.608,1.686
29.267,0.154,1.946
29.270,0.459,2.036
29.279,0.297,1.691
29.283,0.440,1.780
29.283,0.450,1.790
29.287,0.335,1.759
29.295,0.304,1.705
29.304,0.231,1.774
29.304,0.232,1.610
29.306,-0.065,1.617
29.307,0.234,1.860
29.309,-0.123,1.224
29.309,0.222,1.580
29.312,0.290,1.630
29.312,0.155,1.365
29.312,-0.029,1.425
29.314,0.210,1.799
29.315,-0.008,1.634
29.316,0.157,1.586
29.316,0.137,1.628
29.317,0.123,1.568
29.317,0.019,1.539
29.318,0.158,1.623
29.325,0.075,1.422
29.325,0.053,1.125
29.331,-0.085,1.009
29.334,0.239,1.301
29.338,0.367,1.542
29.343,0.156,1.532
29.345,0.323,1.302
29.348,0.232,1.157
29.350,-0.084,0.953
29.350,0.370,1.110
29.354,-0.050,1.102
29.361,0.210,1.714
29.363,0.265,1.894
29.366,0.330,1.540
29.370,0.167,1.668
29.370,0.378,1.827
29.376,0.515,1.825
29.376,0.710,1.544
29.378,0.520,1.790
29.381,0.718,1.861
29.390,0.473,1.671
29.393,0.384,1.868
29.401,0.305,1.441
29.405,0.128,1.862
29.405,0.072,1.747
29.406,0.520,1.600
29.407,0.680,1.800
29.409,0.307,1.572
29.409,0.276,1.746
29.413,0.336,1.732
29.417,0.439,2.117
29.421,0.145,1.752
29.429,0.351,1.637
29.430,0.477,1.701
29.436,0.027,1.351
29.447,0.123,1.384
29.447,0.405,1.502
29.451,0.243,1.172
29.451,0.409,1.530
29.456,0.047,1.589
29.456,0.436,1.356
29.457,0.296,1.068
29.458,0.426,1.444
29.458,0.426,1.444
29.459,0.705,1.724
29.461,0.179,1.354
29.467,0.162,1.631
29.474,0.648,1.587
29.478,0.325,1.399
29.486,0.602,1.529
29.488,0.445,1.576
29.500,0.446,1.834
29.511,0.308,1.817
29.511,0.308,1.817
29.514,0.796,1.690
29.514,0.385,1.189
29.526,0.431,1.956
29.533,0.506,1.427
29.536,0.332,1.371
29.549,0.610,1.710
29.553,0.375,1.559
29.563,0.728,1.538
29.566,0.739,1.648
29.570,0.708,1.750
29.570,0.424,1.647
29.574,0.767,1.702
29.582,0.654,1.792
29.585,0.936,1.781
29.589,0.621,1.490
29.593,0.352,1.576
29.597,0.144,1.658
29.602,0.618,1.585
29.602,0.295,1.558
29.603,0.389,1.408
29.605,0.351,1.843
29.606,0.650,1.560
29.606,0.650,1.560
29.607,0.477,1.126
29.609,0.382,1.258
29.611,0.177,1.767
29.612,0.127,1.670
29.612,0.295,1.818
29.615,0.122,1.675
29.616,0.572,1.505
29.618,0.443,1.418
29.618,0.245,1.489
29.620,0.176,1.215
29.621,0.263,2.033
29.621,0.158,2.075
29.626,0.409,1.731
29.628,0.422,1.597
29.628,0.422,1.597
29.631,0.305,0.865
29.638,0.190,1.951
29.643,0.295,1.446
29.656,0.369,1.818
29.673,0.314,1.792
29.686,0.544,1.667
29.691,0.340,1.550
29.701,0.265,1.703
29.707,-0.034,1.362
29.713,0.159,1.545
29.713,0.163,1.517
29.734,0.163,1.537
29.734,-0.028,1.252
29.741,0.230,1.279
29.746,0.000,0.992
29.755,0.224,1.347
29.758,0.090,1.248
29.758,0.068,1.304
29.761,0.473,1.976
29.764,-0.119,1.760
29.764,0.062,1.547
29.767,0.480,1.730
29.772,0.683,1.714
29.782,0.626,1.570
29.791,0.411,1.721
29.791,0.487,1.526
29.800,0.423,1.573
29.810,0.457,1.658
29.814,0.310,1.182
29.817,0.255,1.389
29.820,0.264,1.933
29.822,0.167,1.490
29.824,0.344,1.392
29.826,0.360,1.500
29.827,0.298,1.206
29.827,0.216,1.382
29.830,0.523,1.576
29.835,0.175,1.332
29.839,-0.031,1.184
29.843,0.180,1.333
29.846,0.340,1.540
29.848,0.217,1.953
29.849,0.491,1.287
29.850,0.827,1.581
29.852,0.478,1.612
29.852,0.449,1.512
29.852,0.746,1.742
29.854,0.664,1.583
29.857,0.205,1.513
29.861,0.028,1.757
29.866,0.475,1.750
29.870,0.617,1.638
29.870,0.501,1.568
29.872,0.243,1.602
29.872,0.589,1.986
29.875,0.446,1.545
29.880,0.591,1.816
29.880,0.626,1.918
29.886,0.781,1.826
29.886,0.440,1.871
29.893,0.671,1.942
29.898,0.098,1.500
29.898,0.681,1.793
29.903,0.738,2.094
29.910,0.596,1.549
29.910,0.443,1.778
29.917,0.580,1.780
29.917,0.662,1.809
29.924,0.395,1.944
29.924,0.788,1.670
29.928,0.618,1.650
29.930,0.924,1.533
29.930,0.367,1.621
29.932,0.797,1.574
29.936,0.903,1.858
29.936,0.534,1.879
29.936,0.438,2.032
29.938,0.694,1.650
29.939,0.819,1.623
29.943,0.810,2.086
29.943,0.771,2.239
29.943,0.750,1.591
29.948,0.510,1.489
29.950,0.535,1.467
29.950,0.384,1.941
29.952,0.240,1.327
29.953,0.411,1.590
29.953,0.428,1.515
29.955,0.443,1.426
29.957,0.380,1.674
29.957,0.613,1.582
29.962,0.556,1.864
29.964,0.508,1.884
29.964,,1.870
29.965,0.387,1.541
29.968,0.665,1.654
29.968,0.446,1.871
29.970,0.648,1.563
29.972,0.580,1.755
29.972,0.446,1.671
29.972,0.668,1.780
29.974,0.593,1.573
29.978,0.965,1.928
29.979,0.868,1.695
29.981,0.818,1.841
29.987,0.547,1.780
29.993,0.592,1.712
29.996,0.720,1.600
29.996,0.720,1.600
29.999,0.667,1.580
30.005,0.535,1.462
30.012,0.634,1.707
30.017,0.664,1.746
30.022,0.638,1.712
30.025,0.690,1.745
30.031,0.590,1.581
30.036,0.671,1.679
30.038,0.671,1.771
30.040,0.672,2.042
30.041,0.441,
30.042,0.587,1.877
30.044,0.638,1.858
30.045,0.875,2.038
30.047,0.680,1.897
30.049,0.636,1.746
30.051,0.607,1.765
30.053,0.777,1.994
30.055,0.579,1.815
30.057,0.785,1.630
30.059,0.614,2.074
30.059,0.730,1.750
30.060,0.341,1.827
30.062,0.637,1.819
30.064,0.772,1.732
30.066,0.646,1.894
30.068,0.583,1.855
30.070,0.693,2.020
30.072,0.569,1.670
30.074,0.796,1.831
30.076,0.607,1.878
30.079,0.513,1.698
30.083,0.410,1.640
30.085,0.458,1.859
30.087,0.557,1.787
30.091,0.365,1.709
30.096,0.642,1.792
30.098,0.661,2.022
30.101,0.450,1.643
30.107,0.668,1.825
30.109,0.478,1.769
30.115,0.368,1.782
30.121,0.414,1.633
30.124,0.290,1.380
30.128,0.554,1.586
30.136,0.462,1.517
30.143,0.674,1.591
30.151,0.434,1.668
30.159,0.617,1.649
30.166,0.525,1.681
30.173,0.596,1.480
30.180,0.619,1.536
30.187,0.485,1.395
30.195,0.409,1.272
30.198,0.248,1.420
30.203,0.576,1.566
30.209,0.493,1.701
30.213,0.137,1.345
30.219,0.297,1.713
30.220,0.434,1.728
30.223,0.437,1.689
30.226,0.721,1.623
30.228,0.615,1.396
30.231,0.562,1.806
30.233,0.771,1.687
30.234,0.490,1.780
30.236,0.521,1.454
30.239,0.671,1.715
30.241,0.643,1.580
30.246,0.431,1.641
30.247,0.670,
30.250,0.888,1.857
30.252,0.760,2.000
30.253,0.630,1.797
30.258,0.539,1.522
30.259,0.473,1.641
30.261,0.613,1.614
30.262,0.438,1.471
30.262,0.548,1.850
30.262,0.516,1.898
30.264,0.552,1.949
30.265,0.574,2.019
30.268,0.742,1.808
30.273,0.758,1.769
30.278,0.732,1.670
30.281,0.561,1.569
30.282,0.779,1.542
30.284,0.627,1.516
30.287,0.541,1.693
30.288,0.334,1.696
30.290,0.479,1.709
30.298,0.620,1.809
30.306,0.649,1.554
30.309,0.564,1.556
30.311,0.454,1.671
30.318,0.608,1.665
30.322,0.623,1.483
30.324,0.732,1.677
30.327,0.642,1.338
30.333,0.585,1.738
30.334,0.500,1.420
30.337,0.599,1.876
30.343,0.765,1.888
30.350,0.691,1.888
30.357,0.802,2.011
30.365,0.765,1.768
30.373,0.730,1.589
30.380,0.766,2.041
30.386,0.655,1.499
30.388,0.827,1.515
30.391,0.810,1.775
30.392,0.940,1.593
30.392,0.940,1.593
30.392,0.940,1.593
30.392,0.940,1.593
30.395,0.751,1.950
30.395,0.728,1.683
30.403,0.839,1.833
30.410,0.797,1.650
30.417,0.775,1.877
30.425,0.792,1.772
30.433,0.594,1.640
30.435,0.459,1.695
30.440,0.704,1.643
30.444,0.475,1.587
30.447,0.744,1.587
30.449,0.460,1.680
30.450,0.458,1.745
30.454,0.661,1.798
30.463,0.786,1.965
30.468,0.551,1.565
30.470,0.669,1.578
30.472,1.042,1.746
30.474,0.652,1.417
30.476,0.506,1.635
30.481,0.499,1.317
30.488,0.718,1.816
30.488,0.570,1.690
30.490,0.555,1.654
30.495,0.601,1.660
30.498,0.727,1.682
30.500,0.710,2.113
30.503,0.795,1.746
30.505,0.849,1.918
30.506,0.824,1.912
30.507,0.641,1.397
30.508,0.719,1.811
30.509,0.654,1.735
30.510,0.649,1.920
30.511,0.944,1.650
30.512,0.887,1.769
30.514,0.853,1.733
30.515,1.020,1.877
30.515,0.390,1.620
30.520,0.466,1.681
30.524,0.750,1.888
30.526,0.517,1.253
30.528,0.431,1.688
30.534,0.662,1.742
30.543,0.549,1.641
30.552,0.309,1.571
30.560,0.560,1.406
30.564,0.533,1.372
30.570,0.494,1.291
30.578,0.696,1.715
30.587,0.396,1.398
30.595,0.429,1.581
30.600,0.459,1.554
30.602,0.522,1.678
30.605,0.364,1.892
30.607,0.451,1.584
30.615,0.785,1.636
30.622,0.815,1.810
30.628,0.540,1.800
30.628,0.234,1.760
30.631,0.939,1.835
30.633,0.940,1.442
30.639,0.730,1.505
30.647,0.835,1.786
30.655,0.792,1.447
30.657,0.875,1.290
30.660,0.938,1.478
30.666,0.690,1.577
30.674,0.691,1.393
30.677,0.706,1.014
30.681,0.560,1.284
30.686,0.942,1.481
30.688,0.696,1.483
30.691,0.836,1.726
30.697,0.790,1.812
30.700,0.523,1.590
30.704,0.851,1.752
30.707,0.747,1.995
30.709,0.759,1.740
30.712,0.690,1.580
30.714,0.857,1.301
30.716,0.848,1.729
30.719,0.944,1.463
30.721,0.772,1.475
30.723,0.971,1.535
30.726,0.749,1.657
30.731,0.898,1.762
30.739,0.939,1.628
30.744,0.880,1.747
30.751,0.700,1.860
30.757,0.842,1.717
30.766,0.710,1.734
30.771,0.800,1.649
30.780,0.898,1.876
30.787,0.857,1.561
30.790,0.816,1.665
30.792,0.810,1.676
30.797,0.802,1.588
30.800,0.660,1.556
30.802,0.810,1.530
30.804,0.662,1.659
30.809,0.707,1.981
