/* DATA DESCRIPTION:
Citation:	Beddow, HM et al. (2016): Isotope ratios versus age in composite core 320-U1134. doi:10.1594/PANGAEA.858328, 
	In Supplement to: Beddow, Helen M; Liebrand, Diederik; Sluijs, Appy; Wade, Bridget S; Lourens, Lucas Joost (2016): Global change across the Oligocene-Miocene transition: High-resolution stable isotope records from IODP Site U1334 (equatorial Pacific Ocean). Paleoceanography, 31(1), 81-97, doi:10.1002/2015PA002820
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 7.999000 * LONGITUDE: -131.973000
	MINIMUM ELEVATION: -4799.9 m * MAXIMUM ELEVATION: -4799.9 m
Event(s):	320-U1334 * LATITUDE: 7.999000 * LONGITUDE: -131.973000 * ELEVATION: -4799.9 m * CAMPAIGN: Exp320 (Pacific Equatorial Age Transect I) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Beddow, Helen M
	AGE [ka BP] (Age) * GEOCODE * PI: Beddow, Helen M
	delta 13C [per mil PDB] (d13C) * PI: Beddow, Helen M
	delta 18O [per mil] (d18O) * PI: Beddow, Helen M * METHOD: predicted
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1842 data points
*/
Depth corr cr [crmcd]	Age [ka BP]	d13C [per mil PDB]	d18O [per mil]
95.415	22410.317	1.06	1.63
95.455	22413.172	1.13	1.78
95.495	22416.025	1.10	1.52
95.535	22418.876	1.18	1.49
95.575	22421.725	0.93	1.47
95.615	22424.571	1.05	1.61
95.655	22427.415	0.93	1.30
95.695	22430.256	1.36	1.62
95.735	22433.095	1.02	1.79
95.815	22438.767	1.16	1.35
95.855	22441.600	1.30	1.73
95.895	22444.431	1.17	1.73
95.975	22450.085	1.07	1.68
96.015	22452.909	1.19	1.86
96.175	22464.182	1.45	1.77
96.215	22466.995	1.33	1.57
96.255	22469.806	1.28	1.68
96.335	22475.422	1.33	1.81
96.415	22481.029	1.19	1.95
96.455	22483.829	1.09	2.03
96.495	22486.627	1.34	1.58
96.575	22492.217	1.18	1.94
96.615	22495.009	1.24	1.74
96.695	22500.587	1.07	1.62
96.735	22503.373	1.12	1.72
96.775	22506.157	1.05	1.75
96.815	22508.939	0.88	1.25
96.855	22511.718	0.99	1.65
96.895	22514.496	0.97	1.41
96.935	22517.272	1.06	1.24
97.015	22522.817	1.00	1.47
97.095	22528.355	1.26	1.90
97.135	22531.121	1.08	1.49
97.175	22533.885	1.15	1.66
97.215	22536.647	1.31	1.71
97.255	22539.407	0.69	1.11
97.295	22542.165	1.59	1.62
97.345	22545.610	1.00	1.69
97.375	22547.675	1.42	1.55
97.415	22550.428	1.38	1.73
97.455	22553.178	1.41	1.98
97.495	22555.927	1.52	1.96
97.575	22561.419	1.13	1.93
97.695	22569.642	1.76	1.82
97.815	22577.849	1.09	1.95
97.895	22583.311	1.46	1.49
98.135	22599.655	1.49	1.80
98.175	22602.373	1.04	1.70
98.215	22605.089	1.13	1.85
98.295	22610.516	1.10	1.89
98.335	22613.227	1.30	1.43
98.375	22615.936	1.11	1.45
98.415	22618.644	1.24	1.82
98.455	22621.350	1.17	1.72
98.495	22624.054	1.39	1.91
98.535	22626.756	1.10	1.81
98.618	22632.337	0.98	1.70
98.665	22635.517	1.18	1.50
98.759	22641.870	1.06	1.72
98.815	22645.628	1.07	1.41
98.895	22651.005	0.98	1.66
98.935	22653.691	1.14	2.05
99.015	22659.059	1.15	1.78
99.055	22661.741	1.25	1.68
99.135	22667.099	1.10	1.71
99.295	22677.797	0.98	1.82
99.535	22693.800	0.89	1.62
99.615	22699.122	0.88	1.62
99.655	22701.782	1.06	1.89
99.695	22704.439	0.91	1.74
99.735	22707.095	0.89	1.59
99.815	22712.404	0.86	1.67
99.855	22715.056	0.67	1.73
100.055	22728.295	0.83	1.61
100.175	22736.222	1.03	1.46
100.255	22741.501	1.09	1.68
100.295	22744.138	1.07	1.61
100.375	22749.408	0.73	1.55
100.415	22752.041	1.14	1.73
100.455	22754.674	1.07	1.83
100.495	22757.304	1.23	1.82
100.535	22759.934	1.11	1.96
100.695	22770.439	1.22	2.16
100.775	22775.685	1.21	2.10
100.815	22778.306	1.04	2.04
100.895	22783.544	1.15	1.92
100.935	22786.161	0.94	1.87
101.015	22791.393	0.71	2.15
101.055	22794.007	1.09	1.83
101.175	22801.841	1.05	1.93
101.215	22804.451	0.86	1.71
101.255	22807.059	1.03	1.84
101.295	22809.666	0.72	1.75
101.335	22812.272	1.05	1.56
101.375	22814.877	0.93	1.61
101.455	22820.084	0.89	1.70
101.535	22825.287	0.89	1.58
101.615	22830.485	0.97	1.58
101.695	22835.679	1.00	1.99
101.735	22838.275	1.21	1.93
101.815	22843.463	1.14	1.87
101.855	22846.056	1.34	2.16
101.895	22848.647	1.16	2.20
101.935	22851.238	1.15	2.13
101.975	22853.828	1.00	2.21
102.015	22856.416	1.20	2.10
102.055	22859.004	0.81	2.15
102.095	22861.591	1.29	1.95
102.135	22864.177	1.25	1.87
102.215	22869.346	1.22	2.00
102.255	22871.929	1.06	1.88
102.335	22877.093	1.28	1.93
102.535	22889.987	1.47	1.90
102.615	22895.139	1.13	1.79
102.655	22897.714	0.91	1.59
102.695	22900.288	1.02	1.94
102.815	22908.004	1.33	1.92
102.855	22910.575	0.97	1.92
102.895	22913.145	1.29	2.04
102.935	22915.714	1.33	1.79
102.975	22918.282	1.08	1.63
103.015	22920.850	0.99	1.81
103.135	22928.548	1.33	1.76
103.255	22936.241	1.19	1.97
103.375	22943.926	1.21	1.97
103.415	22946.487	1.34	2.12
103.455	22949.047	1.25	1.81
103.495	22951.606	1.23	1.89
103.535	22954.165	1.48	1.97
103.575	22956.723	1.42	2.23
103.615	22959.281	1.29	1.97
103.655	22961.837	1.27	2.14
103.735	22966.949	1.36	1.71
103.775	22969.504	1.39	1.92
103.815	22972.059	1.21	2.00
103.855	22974.613	1.02	1.75
103.895	22977.166	1.38	1.92
103.975	22982.271	1.21	1.78
104.015	22984.822	1.33	2.20
104.135	22992.474	1.44	2.16
104.175	22995.024	0.98	2.15
104.215	22997.573	1.20	2.01
104.318	23004.163	1.24	2.05
104.374	23007.724	0.86	1.94
104.445	23012.221	1.00	1.81
104.485	23014.767	1.53	2.43
104.525	23017.312	1.17	2.11
104.605	23022.402	1.12	1.91
104.645	23024.946	1.25	1.96
104.725	23030.034	1.12	2.00
104.845	23037.662	1.20	2.23
104.925	23042.745	0.93	2.01
104.965	23045.287	0.85	2.08
105.005	23047.827	1.11	2.09
105.045	23050.368	1.08	2.12
105.085	23052.908	1.12	2.15
105.205	23060.527	1.08	2.16
105.285	23065.605	1.09	2.03
105.365	23070.682	0.94	1.98
105.405	23073.220	1.26	1.89
105.445	23075.758	1.23	2.17
105.485	23078.295	0.83	1.81
105.525	23080.833	1.21	2.16
105.565	23083.370	1.41	1.99
105.605	23085.907	1.12	2.26
105.645	23088.443	1.14	2.02
105.685	23090.980	0.77	1.84
105.725	23093.516	1.11	1.79
105.805	23098.588	0.91	1.87
105.845	23101.124	1.17	1.98
105.885	23103.660	1.03	1.99
105.925	23106.195	1.11	1.86
106.005	23111.266	1.08	1.95
106.045	23113.801	0.99	1.98
106.085	23116.336	1.02	1.70
106.125	23118.871	0.96	1.99
106.205	23123.940	1.15	1.84
106.245	23126.475	0.93	1.91
106.285	23129.010	0.95	1.88
106.325	23131.544	0.74	2.02
106.365	23134.078	0.85	1.62
106.445	23139.147	1.00	1.82
106.485	23141.681	0.96	1.65
106.525	23144.216	0.92	1.61
106.565	23146.750	1.03	1.59
106.605	23149.284	1.06	1.69
106.645	23151.819	1.02	1.75
106.725	23156.887	1.16	1.56
106.765	23159.422	1.14	1.53
106.805	23161.956	1.12	1.53
106.845	23164.490	1.07	1.72
106.885	23167.025	1.03	1.69
106.925	23169.559	0.46	1.64
107.125	23182.233	0.87	1.65
107.205	23187.303	1.10	1.67
107.245	23189.839	1.24	1.73
107.285	23192.374	1.00	1.74
107.365	23197.446	1.28	1.53
107.405	23199.981	0.69	1.33
107.445	23202.518	0.65	1.36
107.485	23205.054	1.09	1.55
107.565	23210.127	0.86	1.63
107.605	23212.664	1.46	1.16
107.845	23227.889	0.86	1.75
107.965	23235.505	0.78	1.61
108.005	23238.045	0.98	1.67
108.045	23240.584	0.71	1.46
108.085	23243.124	0.89	1.50
108.125	23245.664	0.81	1.58
108.165	23248.205	0.84	1.43
108.205	23250.746	0.70	1.27
108.245	23253.287	0.54	1.33
108.285	23255.828	0.83	1.29
108.325	23258.370	0.77	1.58
108.365	23260.912	0.40	1.35
108.405	23263.455	0.75	1.69
108.445	23265.998	0.58	1.68
108.485	23268.541	0.66	1.67
