Site,Hole,Core,Type,Section,top(cm),Species,CSF-A_new (m),offset_Roy_final,CCSF-A_Royfinal (m),Age(ka),Cibicidoides δ13C,Cibicidoides δ18O
U1337,C,12,X,4,112,Cibicidoides ,246.12,31.66,277.78,12447.2,0.761,2.297
U1337,C,12,X,4,120,Cibicidoides ,246.2,31.66,277.86,12450.5,0.648,2.189
U1337,C,12,X,4,128,Cibicidoides ,246.28,31.66,277.94,12453.8,0.680,2.386
U1337,C,12,X,4,136,Cibicidoides ,246.36,31.66,278.02,12457.1,0.654,2.384
U1337,C,12,X,4,144,Cibicidoides ,246.44,31.66,278.1,12460.5,0.699,2.451
U1337,C,12,X,5,0,Cibicidoides ,246.5,31.66,278.16,12462.9,0.766,2.342
U1337,C,12,X,5,8,Cibicidoides ,246.58,31.66,278.24,12466.3,0.769,2.466
U1337,C,12,X,5,16,Cibicidoides ,246.66,31.66,278.32,12469.6,0.894,2.243
U1337,C,12,X,5,24,Cibicidoides ,246.74,31.66,278.4,12472.9,0.939,2.364
U1337,C,12,X,5,32,Cibicidoides ,246.82,31.66,278.48,12476.2,0.283,2.494
U1337,C,12,X,5,40,Cibicidoides ,246.9,31.66,278.56,12479.5,0.898,2.191
U1337,C,12,X,5,48,Cibicidoides ,246.98,31.66,278.64,12482.8,0.649,2.303
U1337,C,12,X,5,56,Cibicidoides ,247.06,31.66,278.72,12486.1,0.026,2.751
U1337,C,12,X,5,64,Cibicidoides ,247.14,31.66,278.8,12489.4,0.891,2.245
U1337,C,12,X,5,72,Cibicidoides ,247.22,31.66,278.88,12492.7,0.815,2.263
U1337,C,12,X,5,80,Cibicidoides ,247.3,31.66,278.96,12495.9,0.401,2.425
U1337,C,12,X,5,88,Cibicidoides ,247.38,31.66,279.04,12499.2,0.858,2.362
U1337,C,12,X,5,96,Cibicidoides ,247.46,31.66,279.12,12502.5,0.922,2.386
U1337,C,12,X,5,104,Cibicidoides ,247.54,31.66,279.2,12505.8,0.694,2.424
U1337,C,12,X,5,112,Cibicidoides ,247.62,31.66,279.28,12509.1,0.312,2.423
U1337,C,12,X,5,120,Cibicidoides ,247.7,31.66,279.36,12512.4,0.776,2.374
U1337,C,12,X,5,128,Cibicidoides ,247.78,31.66,279.44,12515.6,0.697,2.538
U1337,D,29,H,2,112,Cibicidoides ,250.62,28.87,279.49,12517.7,0.955,2.463
U1337,D,29,H,2,120,Cibicidoides ,250.7,28.87,279.57,12521.0,0.811,2.341
U1337,D,29,H,2,128,Cibicidoides ,250.78,28.87,279.65,12524.4,0.830,2.452
U1337,D,29,H,2,136,Cibicidoides ,250.86,28.87,279.73,12527.8,0.991,2.477
U1337,D,29,H,2,144,Cibicidoides ,250.94,28.87,279.81,12531.2,0.884,2.447
U1337,D,29,H,3,0,Cibicidoides ,251,28.87,279.87,12533.8,0.834,2.299
U1337,D,29,H,3,8,Cibicidoides ,251.08,28.87,279.95,12537.2,0.948,2.337
U1337,D,29,H,3,16,Cibicidoides ,251.16,28.87,280.03,12540.6,0.202,2.549
U1337,D,29,H,3,24,Cibicidoides ,251.24,28.87,280.11,12544.0,0.862,2.168
U1337,D,29,H,3,32,Cibicidoides ,251.32,28.87,280.19,12547.4,0.969,2.408
U1337,D,29,H,3,40,Cibicidoides ,251.4,28.87,280.27,12550.8,0.693,2.280
U1337,D,29,H,3,48,Cibicidoides ,251.48,28.87,280.35,12554.2,0.937,2.303
U1337,D,29,H,3,56,Cibicidoides ,251.56,28.87,280.43,12557.7,0.776,2.345
U1337,D,29,H,3,64,Cibicidoides ,251.64,28.87,280.51,12561.0,0.931,2.196
U1337,D,29,H,3,72,Cibicidoides ,251.72,28.87,280.59,12563.4,0.932,2.376
U1337,D,29,H,3,80,Cibicidoides ,251.8,28.87,280.67,12565.9,0.839,2.444
U1337,D,29,H,3,88,Cibicidoides ,251.88,28.87,280.75,12568.3,0.894,2.303
U1337,D,29,H,3,96,Cibicidoides ,251.96,28.87,280.83,12570.8,0.841,2.253
U1337,D,29,H,3,104,Cibicidoides ,252.04,28.87,280.91,12573.2,0.904,2.429
U1337,D,29,H,3,112,Cibicidoides ,252.12,28.87,280.99,12575.7,0.614,2.311
U1337,D,29,H,3,120,Cibicidoides ,252.2,28.87,281.07,12578.1,0.883,2.361
U1337,D,29,H,3,128,Cibicidoides ,252.28,28.87,281.15,12580.6,0.715,2.238
U1337,D,29,H,3,136,Cibicidoides ,252.36,28.87,281.23,12583.0,0.910,2.347
U1337,D,29,H,3,144,Cibicidoides ,252.44,28.87,281.31,12585.4,0.611,2.590
U1337,D,29,H,4,0,Cibicidoides ,252.5,28.87,281.37,12587.3,0.797,2.319
U1337,D,29,H,4,8,Cibicidoides ,252.58,28.87,281.45,12589.7,0.608,2.368
U1337,D,29,H,4,16,Cibicidoides ,252.66,28.87,281.53,12592.2,0.947,2.401
U1337,D,29,H,4,24,Cibicidoides ,252.74,28.87,281.61,12594.6,0.919,2.370
U1337,D,29,H,4,32,Cibicidoides ,252.82,28.87,281.69,12597.1,0.790,2.235
U1337,D,29,H,4,40,Cibicidoides ,252.9,28.87,281.77,12599.5,0.841,2.268
U1337,D,29,H,4,48,Cibicidoides ,252.98,28.87,281.85,12601.9,0.844,2.440
U1337,D,29,H,4,56,Cibicidoides ,253.06,28.87,281.93,12604.4,0.284,2.666
U1337,D,29,H,4,64,Cibicidoides ,253.14,28.87,282.01,12606.8,0.963,2.338
U1337,D,29,H,4,72,Cibicidoides ,253.22,28.87,282.09,12609.3,0.827,2.310
U1337,D,29,H,4,80,Cibicidoides ,253.3,28.87,282.17,12611.7,0.980,2.337
U1337,D,29,H,4,88,Cibicidoides ,253.38,28.87,282.25,12614.2,0.857,2.255
U1337,D,29,H,4,96,Cibicidoides ,253.46,28.87,282.33,12616.6,0.717,2.488
U1337,D,29,H,4,104,Cibicidoides ,253.54,28.87,282.41,12619.1,0.854,2.302
U1337,D,29,H,4,112,Cibicidoides ,253.62,28.87,282.49,12621.5,0.729,2.365
U1337,D,29,H,4,120,Cibicidoides ,253.7,28.87,282.57,12624.0,0.715,2.635
U1337,D,29,H,4,128,Cibicidoides ,253.78,28.87,282.65,12626.4,0.613,2.283
U1337,D,29,H,4,144,Cibicidoides ,253.94,28.87,282.81,12631.3,0.615,2.273
U1337,D,29,H,5,32,Cibicidoides ,254.32,28.87,283.19,12643.4,0.393,2.092
U1337,C,13,X,1,56,Cibicidoides ,250.66,32.61,283.27,12647.9,0.486,2.202
U1337,C,13,X,1,72,Cibicidoides ,250.82,32.61,283.43,12656.8,0.782,2.210
U1337,C,13,X,1,80,Cibicidoides ,250.9,32.61,283.51,12661.3,0.690,2.130
U1337,C,13,X,1,88,Cibicidoides ,250.98,32.61,283.59,12665.7,0.659,2.163
U1337,C,13,X,1,96,Cibicidoides ,251.06,32.61,283.67,12670.2,0.797,2.291
U1337,C,13,X,1,104,Cibicidoides ,251.14,32.61,283.75,12674.6,0.772,2.373
U1337,C,13,X,1,120,Cibicidoides ,251.3,32.61,283.91,12683.6,0.536,2.221
U1337,C,13,X,1,136,Cibicidoides ,251.46,32.61,284.07,12689.2,0.758,2.327
U1337,C,13,X,2,0,Cibicidoides ,251.6,32.61,284.21,12693.9,0.632,2.417
U1337,C,13,X,2,8,Cibicidoides ,251.68,32.61,284.29,12696.6,0.598,2.491
U1337,C,13,X,2,16,Cibicidoides ,251.76,32.61,284.37,12699.3,0.881,2.330
U1337,C,13,X,2,24,Cibicidoides ,251.84,32.61,284.45,12702.0,0.838,2.313
U1337,C,13,X,2,32,Cibicidoides ,251.92,32.61,284.53,12704.7,0.938,2.258
U1337,C,13,X,2,40,Cibicidoides ,252,32.61,284.61,12707.4,0.869,2.191
U1337,C,13,X,2,48,Cibicidoides ,252.08,32.61,284.69,12710.1,0.871,2.274
U1337,C,13,X,2,56,Cibicidoides ,252.16,32.61,284.77,12712.8,0.647,2.263
U1337,C,13,X,2,64,Cibicidoides ,252.24,32.61,284.85,12715.5,0.947,2.293
U1337,C,13,X,2,72,Cibicidoides ,252.32,32.61,284.93,12718.2,0.832,2.315
U1337,C,13,X,2,80,Cibicidoides ,252.4,32.61,285.01,12720.9,0.838,2.287
U1337,C,13,X,2,88,Cibicidoides ,252.48,32.61,285.09,12723.6,0.875,2.323
U1337,C,13,X,2,96,Cibicidoides ,252.56,32.61,285.17,12726.3,0.740,2.287
U1337,C,13,X,2,104,Cibicidoides ,252.64,32.61,285.25,12729.0,0.856,2.245
U1337,C,13,X,2,112,Cibicidoides ,252.72,32.61,285.33,12732.9,0.980,2.369
U1337,C,13,X,2,120,Cibicidoides ,252.8,32.61,285.41,12737.0,0.908,2.302
U1337,C,13,X,2,128,Cibicidoides ,252.88,32.61,285.49,12741.1,0.826,2.194
U1337,C,13,X,2,136,Cibicidoides ,252.96,32.61,285.57,12745.2,0.888,2.286
U1337,C,13,X,2,144,Cibicidoides ,253.04,32.61,285.65,12749.3,0.793,2.290
U1337,C,13,X,3,0,Cibicidoides ,253.1,32.61,285.71,12752.4,0.612,2.334
U1337,C,13,X,3,8,Cibicidoides ,253.18,32.61,285.79,12756.5,0.874,2.358
U1337,C,13,X,3,16,Cibicidoides ,253.26,32.61,285.87,12760.6,0.760,2.100
U1337,C,13,X,3,24,Cibicidoides ,253.34,32.61,285.95,12764.6,0.460,2.109
U1337,C,13,X,3,32,Cibicidoides ,253.42,32.61,286.03,12768.4,0.837,2.279
U1337,C,13,X,3,40,Cibicidoides ,253.5,32.61,286.11,12772.1,0.668,2.496
U1337,C,13,X,3,48,Cibicidoides ,253.58,32.61,286.19,12775.9,0.656,2.264
U1337,C,13,X,3,56,Cibicidoides ,253.66,32.61,286.27,12779.6,0.776,2.203
U1337,C,13,X,3,64,Cibicidoides ,253.74,32.61,286.35,12783.4,0.753,2.157
U1337,C,13,X,3,72,Cibicidoides ,253.82,32.61,286.43,12787.1,0.879,2.280
U1337,C,13,X,3,80,Cibicidoides ,253.9,32.61,286.51,12790.9,0.588,2.289
U1337,C,13,X,3,88,Cibicidoides ,253.98,32.61,286.59,12794.6,0.711,2.237
U1337,C,13,X,3,96,Cibicidoides ,254.06,32.61,286.67,12798.4,0.779,2.356
U1337,C,13,X,3,104,Cibicidoides ,254.14,32.61,286.75,12802.2,0.388,2.455
U1337,C,13,X,3,112,Cibicidoides ,254.22,32.61,286.83,12805.9,0.638,2.195
U1337,C,13,X,3,120,Cibicidoides ,254.3,32.61,286.91,12809.7,0.711,2.178
U1337,C,13,X,3,128,Cibicidoides ,254.38,32.61,286.99,12812.4,0.835,2.215
U1337,C,13,X,3,136,Cibicidoides ,254.46,32.61,287.07,12815.1,0.689,2.230
U1337,C,13,X,3,144,Cibicidoides ,254.54,32.61,287.15,12817.8,0.646,2.178
U1337,C,13,X,4,0,Cibicidoides ,254.6,32.61,287.21,12819.8,0.792,2.434
U1337,C,13,X,4,8,Cibicidoides ,254.68,32.61,287.29,12822.5,0.739,2.271
U1337,C,13,X,4,16,Cibicidoides ,254.76,32.61,287.37,12825.2,0.757,2.328
U1337,C,13,X,4,24,Cibicidoides ,254.84,32.61,287.45,12827.9,0.630,2.213
U1337,C,13,X,4,32,Cibicidoides ,254.92,32.61,287.53,12830.6,0.518,2.198
U1337,C,13,X,4,40,Cibicidoides ,255,32.61,287.61,12833.2,0.706,2.105
U1337,C,13,X,4,48,Cibicidoides ,255.08,32.61,287.69,12835.9,0.693,2.456
U1337,C,13,X,4,56,Cibicidoides ,255.16,32.61,287.77,12838.6,0.508,2.274
U1337,C,13,X,4,64,Cibicidoides ,255.24,32.61,287.85,12841.3,0.591,2.384
U1337,C,13,X,4,72,Cibicidoides ,255.32,32.61,287.93,12844.0,0.461,2.238
U1337,C,13,X,4,80,Cibicidoides ,255.4,32.61,288.01,12846.7,0.587,2.026
U1337,C,13,X,4,88,Cibicidoides ,255.48,32.61,288.09,12849.4,0.562,1.966
U1337,C,13,X,4,96,Cibicidoides ,255.56,32.61,288.17,12853.0,0.586,2.087
U1337,C,13,X,4,104,Cibicidoides ,255.64,32.61,288.25,12856.8,0.715,2.043
U1337,C,13,X,4,112,Cibicidoides ,255.72,32.61,288.33,12860.5,0.456,2.045
