"age","d18o","auth"
12939.4,2.138,"Tian"
12945.5,2.315,"Tian"
12948.8,2.544,"Tian"
12952,2.347,"Tian"
12955.3,2.065,"Tian"
12958.6,2.265,"Tian"
12961.8,2.167,"Tian"
12968.4,2.05,"Tian"
12971.9,2.05,"Tian"
12975.5,2.139,"Tian"
12979.1,2.28,"Tian"
12982.8,2.34,"Tian"
12986.4,2.415,"Tian"
12990,2.581,"Tian"
12994.2,2.46,"Tian"
12998.3,2.446,"Tian"
13002.5,2.323,"Tian"
13006.7,2.417,"Tian"
13009.8,2.251,"Tian"
13013.9,2.148,"Tian"
13016.8,2.261,"Tian"
13019.6,2.36,"Tian"
13022.4,2.193,"Tian"
13025.2,2.373,"Tian"
13028,2.367,"Tian"
13030.8,2.334,"Tian"
13033.6,2.172,"Tian"
13036.5,2.183,"Tian"
13039.3,2.13,"Tian"
13042.1,2.238,"Tian"
13044.9,2.266,"Tian"
13047.7,2.068,"Tian"
13050.5,1.958,"Tian"
13053.3,1.972,"Tian"
13056.2,2.134,"Tian"
13059.1,2.478,"Tian"
13062.1,2.349,"Tian"
13064.2,2.506,"Tian"
13067.2,2.357,"Tian"
13070.1,2.529,"Tian"
13073,2.339,"Tian"
13075.9,2.413,"Tian"
13078.8,2.28,"Tian"
13081.8,2.312,"Tian"
13084.7,2.17,"Tian"
13087.6,2.127,"Tian"
13090.5,2.188,"Tian"
13093.5,2.081,"Tian"
13097.4,2.111,"Tian"
13101.2,2.091,"Tian"
13105.1,2.187,"Tian"
13108.9,2.145,"Tian"
13112.8,2.028,"Tian"
13116.6,1.879,"Tian"
13120.5,1.915,"Tian"
13124.4,2.172,"Tian"
13131.1,1.832,"Tian"
13135.6,1.809,"Tian"
13141.1,2.02,"Tian"
13146.7,1.996,"Tian"
13152.2,2.242,"Tian"
13157.8,1.943,"Tian"
13163.3,1.884,"Tian"
13168.9,1.746,"Tian"
13173,1.686,"Tian"
13174.8,2.053,"Tian"
13176.7,2.385,"Tian"
13178.6,2.171,"Tian"
13178.6,2.282,"Tian"
13180.4,2.087,"Tian"
13182.3,2.154,"Tian"
13184.2,1.866,"Tian"
13186,2.002,"Tian"
13187.9,2.229,"Tian"
13189.8,2.492,"Tian"
13191.6,2.358,"Tian"
13193.5,2.201,"Tian"
13195.4,2.401,"Tian"
13197.2,2.365,"Tian"
13199.1,2.351,"Tian"
13201,2.413,"Tian"
13202.8,2.282,"Tian"
13204.7,2.323,"Tian"
13206.6,2.162,"Tian"
13208.4,2.192,"Tian"
13210.3,2.102,"Tian"
13212.8,2.178,"Tian"
13214.7,2.116,"Tian"
13216.6,2.046,"Tian"
13219.8,2.174,"Tian"
13222.9,2.192,"Tian"
13226.1,2.158,"Tian"
13229.3,2.08,"Tian"
13232.4,2.191,"Tian"
13235.6,1.816,"Tian"
13238.8,1.948,"Tian"
13245.1,2.078,"Tian"
13248.3,1.796,"Tian"
13251.4,2.134,"Tian"
13254.6,1.745,"Tian"
13256.8,1.827,"Tian"
13258.7,2.026,"Tian"
13260.6,2.017,"Tian"
13262.5,1.969,"Tian"
13263.9,2.083,"Tian"
13265.8,1.93,"Tian"
13267.7,1.89,"Tian"
13269.6,1.953,"Tian"
13271.5,2.306,"Tian"
13273.4,1.808,"Tian"
13275.3,2.214,"Tian"
13277.2,2.237,"Tian"
13279.1,2.332,"Tian"
13281,2.175,"Tian"
13282.9,2.366,"Tian"
13284.8,1.952,"Tian"
13286.8,2.099,"Tian"
13288.7,1.905,"Tian"
13290.6,2.075,"Tian"
13292.5,1.833,"Tian"
13296.1,1.821,"Tian"
13299.7,1.893,"Tian"
13303.4,1.851,"Tian"
13306.1,2.094,"Tian"
13309.7,2.175,"Tian"
13313.3,2.023,"Tian"
13317,1.79,"Tian"
13320.6,1.841,"Tian"
13324.2,1.845,"Tian"
13327.9,1.843,"Tian"
13331.5,1.839,"Tian"
13335.1,1.516,"Tian"
13338.6,1.814,"Tian"
13342.1,1.699,"Tian"
13345.6,2.162,"Tian"
13349,2.035,"Tian"
13352.5,2.062,"Tian"
13356,2.09,"Tian"
13359.5,2.029,"Tian"
13363,1.919,"Tian"
13366.4,2.047,"Tian"
13369.9,2.069,"Tian"
13372.5,2.028,"Tian"
13375.9,1.829,"Tian"
13378.9,2.145,"Tian"
13381.8,2.05,"Tian"
13384.8,2.152,"Tian"
13387.8,2.132,"Tian"
13390.7,2.307,"Tian"
13393.7,2.293,"Tian"
13396.7,2.213,"Tian"
13399.6,2.103,"Tian"
13402.6,2.259,"Tian"
13405.5,2.098,"Tian"
13408.5,2.106,"Tian"
13411.5,2.042,"Tian"
13414.4,2.011,"Tian"
13417.4,1.914,"Tian"
13419.5,2.174,"Tian"
