"age","d18o"
12229.8,2.153
12233.8,2.1701142857143
12237.8,2.02699999999999
12241.8,2.10679999999997
12245.8,2.19114285714286
12249.8,2.25861111111108
12253.8,2.38039999999997
12257.8,2.28866666666672
12261.8,2.41454285714299
12265.8,2.08766666666668
12269.8,2.08414285714286
12273.8,2.05422222222225
12277.8,1.99717647058823
12281.8,2.04336363636362
12285.8,2.13306060606057
12289.8,2.20927272727275
12293.8,2.26466666666663
12297.8,2.27412121212124
12301.8,2.38081818181822
12305.8,2.2211212121212
12309.8,2.27181818181819
12313.8,2.17000000000004
12317.8,2.06109090909093
12321.8,2.11004444444443
12325.8,2.24149999999998
12329.8,2.38745454545454
12333.8,2.35977777777778
12337.8,2.33354545454544
12341.8,2.30196969696975
12345.8,2.26144444444443
12349.8,2.25636363636365
12353.8,2.19677777777778
12357.8,2.18741860465118
12361.8,2.1280999999999
12365.8,2.1560526315789
12369.8,2.24184210526312
12373.8,2.29342105263157
12377.8,2.36942105263149
12381.8,2.36333333333333
12385.8,2.35926315789474
12389.8,2.28994736842112
12393.8,2.16526315789477
12397.8,2.07703846153848
12401.8,2.21108928571424
12405.8,2.26175000000001
12409.8,2.22681818181818
12413.8,2.21736363636364
12417.8,2.1925
12421.8,2.176
12425.8,2.18457142857143
12429.8,2.15582142857144
12433.8,2.11200000000001
12437.8,2.07979999999998
12441.8,2.1742727272727
12445.8,2.27706060606059
12449.8,2.21190909090912
12453.8,2.386
12457.8,2.39779411764704
12461.8,2.39195833333336
12465.8,2.44776470588235
12469.8,2.25033333333329
12473.8,2.39945454545452
12477.8,2.34709090909101
12481.8,2.2690606060606
12485.8,2.71027272727259
12489.8,2.24718181818182
12493.8,2.31868749999995
12497.8,2.38872727272729
12501.8,2.38090909090908
12505.8,2.424
12509.8,2.41260606060607
12513.8,2.44574999999997
12517.8,2.45930303030308
12521.8,2.3671176470588
12525.8,2.46229411764706
12529.8,2.45935294117648
12533.8,2.299
12537.8,2.3744117647058
12541.8,2.41452941176481
12545.8,2.29505882352937
12549.8,2.31764705882353
12553.8,2.30029411764705
12557.8,2.34048484848491
12561.8,2.25599999999995
12565.8,2.44127999999999
12569.8,2.273
12573.8,2.40068000000007
12577.8,2.35474999999998
12581.8,2.29249999999996
12585.8,2.53294736842109
12589.8,2.36931999999998
12593.8,2.38033333333335
12597.8,2.24462499999999
12601.8,2.43283333333331
12605.8,2.47466666666669
12609.8,2.315625
12613.8,2.26812000000005
12617.8,2.39872000000008
12621.8,2.39739999999992
12625.8,2.37100000000007
12629.8,2.2760612244898
12633.8,2.23560330578513
12637.8,2.17576859504133
12641.8,2.11593388429753
12645.8,2.15066666666666
12649.8,2.20370786516854
12653.8,2.20730337078652
12657.8,2.19222222222222
12661.8,2.13375
12665.8,2.1658444444444
12669.8,2.27962222222218
12673.8,2.35809090909089
12677.8,2.31895555555557
12681.8,2.25140000000002
12685.8,2.26264285714283
12689.8,2.3384893617021
12693.8,2.41508510638297
12697.8,2.41944444444448
12701.8,2.31425925925926
12705.8,2.23070370370373
12709.8,2.26477777777775
12713.8,2.27411111111111
12717.8,2.31174074074073
12721.8,2.29899999999999
12725.8,2.29366666666667
12729.8,2.27043589743588
12733.8,2.35429268292684
12737.8,2.28092682926831
12741.8,2.20970731707314
12745.8,2.28658536585366
12749.8,2.29709677419355
12753.8,2.34219512195122
12757.8,2.27619512195127
12761.8,2.1027
12765.8,2.16268421052628
12769.8,2.36110810810807
12773.8,2.39221052631584
12777.8,2.23267567567569
12781.8,2.17636842105264
12785.8,2.23678378378376
12789.8,2.2863947368421
12793.8,2.24824324324326
12797.8,2.33721052631577
12801.8,2.44457894736839
12805.8,2.20202702702705
12809.8,2.17937037037035
12813.8,2.22277777777777
12817.8,2.178
12821.8,2.31325925925929
12825.8,2.3024444444445
12829.8,2.20244444444445
12833.8,2.18299999999984
12837.8,2.32792592592598
12841.8,2.35696296296297
12845.8,2.09666666666676
12849.8,1.97944444444443
12853.8,2.07773684210527
12857.8,2.04354054054054
12861.8,2.01694736842106
12865.8,2.07570270270268
12869.8,2.1354324324325
12873.8,2.1577368421052
12877.8,2.07625000000001
12881.8,2.07567567567567
12885.8,2.308
12889.8,2.36252631578954
12893.8,2.04833333333333
12897.8,2.11777777777777
12901.8,2.17762962962958
12905.8,2.30261538461538
12909.8,2.22407692307691
12913.8,2.37951851851846
12917.8,2.22866666666659
12921.8,2.42392592592595
12925.8,2.37855555555554
12929.8,2.29500000000005
12933.8,2.09984374999999
12937.8,2.14284848484849
12941.8,2.20763934426228
12945.8,2.33581818181814
12949.8,2.48243750000001
12953.8,2.19318181818185
12957.8,2.2165151515151
12961.8,2.167
12965.8,2.09609090909091
12969.8,2.05
12973.8,2.09697222222221
12977.8,2.2290833333333
12981.8,2.32378378378378
12985.8,2.40249999999999
12989.8,2.57177777777775
12993.8,2.47152380952385
12997.8,2.44770731707317
13001.8,2.34350000000002
13005.8,2.39685714285711
13009.8,2.251
13013.8,2.15051219512196
13017.8,2.29635714285713
13021.8,2.22878571428575
13025.8,2.37171428571429
13029.8,2.34578571428572
13033.8,2.17275862068965
13037.8,2.15839285714286
13041.8,2.22642857142853
13045.8,2.20235714285719
13049.8,1.98550000000004
13053.8,1.99993103448274
13057.8,2.32379310344813
13061.8,2.36190000000005
13065.8,2.42653333333341
13069.8,2.51120689655166
13073.8,2.35941379310343
13077.8,2.32586206896552
13081.8,2.312
13085.8,2.15368965517243
13089.8,2.17327586206895
13093.8,2.08330769230769
13097.8,2.10889473684211
13101.8,2.1057692307692
