"Frequency","Power","Harmonic_CL","AR1_CL","AR1_fit","AR1_90_power","AR1_95_power","AR1_99_power"
51.6574585635416,2.83714780984154e-06,98.3706693530404,81.5629793408028,2.06234060440479e-06,3.29710087565272e-06,3.77553479236529e-06,4.78653810629404e-06
51.6666666666724,2.9033900980421e-06,98.248442532915,83.0733208827586,2.06171745745236e-06,3.29610463945482e-06,3.7743939948682e-06,4.78509182888126e-06
51.6758747698031,2.98556036518539e-06,95.4761075376848,84.8016782297698,2.06109464673092e-06,3.29510894079543e-06,3.77325381291047e-06,4.78364633183543e-06
51.6850828729339,2.99396958273366e-06,86.7378317625179,84.9860657003399,2.06047217200565e-06,3.29411377929912e-06,3.77211424606219e-06,4.78220161461153e-06
51.6942909760646,2.89361467224454e-06,66.4800122539925,82.9172850081967,2.05985003304191e-06,3.29311915459079e-06,3.77097529389382e-06,4.780757676665e-06
51.7034990791954,2.75695302499565e-06,33.2530799526745,79.7234774952858,2.05922822960528e-06,3.29212506629566e-06,3.76983695597622e-06,4.77931451745178e-06
51.7127071823261,2.70361858220647e-06,7.7298902407767,78.3682880933029,2.05860676146154e-06,3.2911315140393e-06,3.76869923188059e-06,4.77787213642825e-06
51.7219152854569,2.801223713315e-06,12.8502082700347,80.8538172155217,2.05798562837669e-06,3.29013849744757e-06,3.76756212117854e-06,4.7764305330513e-06
51.7311233885876,3.01029638665311e-06,29.2576161493578,85.3926789321613,2.05736483011692e-06,3.2891460161467e-06,3.76642562344203e-06,4.7749897067783e-06
51.7403314917184,3.19590963309363e-06,37.0228944469935,88.6378288966517,2.05674436644863e-06,3.28815406976323e-06,3.76528973824343e-06,4.77354965706706e-06
51.7495395948492,3.23949139307817e-06,33.730812659763,89.314612146215,2.05612423713842e-06,3.28716265792402e-06,3.76415446515544e-06,4.77211038337591e-06
51.7587476979799,3.13798026416409e-06,23.1709948646665,87.7347134518076,2.05550444195311e-06,3.28617178025627e-06,3.76301980375118e-06,4.77067188516362e-06
51.7679558011107,2.95162481765317e-06,14.4795291578668,84.2971128372369,2.05488498065972e-06,3.28518143638749e-06,3.7618857536041e-06,4.76923416188944e-06
51.7771639042414,2.69223307607876e-06,14.5505177188944,78.2171106106224,2.05426585302545e-06,3.28419162594555e-06,3.76075231428806e-06,4.76779721301312e-06
51.7863720073722,2.29771420838491e-06,18.3178230866948,65.6974730289311,2.05364705881773e-06,3.2832023485586e-06,3.75961948537727e-06,4.76636103799486e-06
51.7955801105029,1.73748601035215e-06,18.5621424644126,41.6296242669466,2.05302859780419e-06,3.28221360385516e-06,3.75848726644634e-06,4.76492563629533e-06
51.8047882136337,1.25026971271806e-06,14.9412563421602,19.2500137708802,2.05241046975266e-06,3.28122539146404e-06,3.75735565707022e-06,4.76349100737569e-06
51.8139963167645,1.02422429443909e-06,25.2578969236668,10.8278274030104,2.05179267443117e-06,3.28023771101441e-06,3.75622465682425e-06,4.76205715069756e-06
51.8232044198952,9.79726018598171e-07,69.2031012757654,9.43954152210052,2.05117521160795e-06,3.27925056213573e-06,3.75509426528415e-06,4.76062406572304e-06
51.832412523026,9.95993020136537e-07,92.6320746469474,9.94880801746414,2.05055808105146e-06,3.2782639444578e-06,3.75396448202599e-06,4.75919175191468e-06
51.8416206261567,9.95314731637502e-07,96.8628285536522,9.93700822051403,2.04994128253033e-06,3.27727785761076e-06,3.75283530662623e-06,4.75776020873553e-06
51.8508287292875,9.51988555369047e-07,96.8955054480779,8.64252229730753,2.0493248158134e-06,3.27629230122504e-06,3.75170673866169e-06,4.7563294356491e-06
51.8600368324182,9.29734348071226e-07,88.682888914416,8.01768469716584,2.04870868066972e-06,3.27530727493142e-06,3.75057877770956e-06,4.75489943211935e-06
51.869244935549,1.03265538138861e-06,47.0199002910199,11.1647534224358,2.04809287686854e-06,3.27432277836099e-06,3.74945142334742e-06,4.75347019761074e-06
51.8784530386797,1.40143851546493e-06,18.8564558549467,25.9980368481999,2.04747740417932e-06,3.27333881114518e-06,3.74832467515318e-06,4.75204173158817e-06
51.8876611418105,2.08234489264152e-06,18.6035251808979,57.4581420530321,2.0468622623717e-06,3.27235537291571e-06,3.74719853270516e-06,4.75061403351704e-06
51.8968692449413,2.73429886671206e-06,18.9392655217247,79.5895992264601,2.04624745121554e-06,3.27137246330466e-06,3.74607299558203e-06,4.74918710286318e-06
51.906077348072,3.04219610420654e-06,13.5116157010039,86.3188624605623,2.0456329704809e-06,3.27039008194441e-06,3.74494806336282e-06,4.74776093909292e-06
51.9152854512028,3.08439414945137e-06,4.40673788743099,87.0916160944441,2.04501881993804e-06,3.26940822846766e-06,3.74382373562694e-06,4.74633554167303e-06
51.9244935543335,3.08836570426292e-06,0.602667710549122,87.177040928912,2.0444049993574e-06,3.26842690250745e-06,3.74270001195418e-06,4.74491091007078e-06
51.9337016574643,3.15792024210388e-06,5.62508861436336,88.3545472919487,2.04379150850965e-06,3.2674461036971e-06,3.74157689192468e-06,4.74348704375386e-06
51.942909760595,3.2190641415419e-06,11.0719693413654,89.3141569450555,2.04317834716565e-06,3.26646583167031e-06,3.74045437511893e-06,4.74206394219047e-06
51.9521178637258,3.1313679438739e-06,15.2587502077177,87.9533174695888,2.04256551509645e-06,3.26548608606104e-06,3.73933246111783e-06,4.74064160484925e-06
51.9613259668565,2.92290886047163e-06,28.7305436342734,84.0867124799574,2.04195301207332e-06,3.26450686650362e-06,3.73821114950261e-06,4.73922003119931e-06
51.9705340699873,2.78710890007012e-06,61.0960730056597,81.0600199847025,2.04134083786771e-06,3.26352817263266e-06,3.73709043985488e-06,4.73779922071021e-06
51.9797421731181,2.84055132763564e-06,89.3679334885438,82.3295355004894,2.04072899225129e-06,3.26255000408312e-06,3.73597033175662e-06,4.736379172852e-06
51.9889502762488,3.03243960154602e-06,97.9227577542419,86.2902255021801,2.04011747499591e-06,3.26157236049025e-06,3.73485082479017e-06,4.73495988709518e-06
51.9981583793796,3.21166279169628e-06,99.2623780539595,89.2900320662663,2.03950628587362e-06,3.26059524148965e-06,3.73373191853822e-06,4.7335413629107e-06
52.0073664825103,3.2620473524199e-06,99.0451958489918,90.0341576593573,2.03889542465669e-06,3.25961864671721e-06,3.73261361258386e-06,4.73212359977e-06
