"age","d13c","auth"
12939.4,0.949,"Tian"
12945.5,0.67,"Tian"
12948.8,0.88,"Tian"
12952,0.879,"Tian"
12955.3,0.827,"Tian"
12958.6,1.116,"Tian"
12961.8,0.81,"Tian"
12968.4,0.556,"Tian"
12971.9,0.733,"Tian"
12975.5,0.723,"Tian"
12979.1,0.733,"Tian"
12982.8,0.626,"Tian"
12986.4,0.682,"Tian"
12990,0.697,"Tian"
12994.2,0.96,"Tian"
12998.3,0.771,"Tian"
13002.5,0.929,"Tian"
13006.7,0.897,"Tian"
13009.8,0.889,"Tian"
13013.9,0.971,"Tian"
13016.8,0.678,"Tian"
13019.6,0.912,"Tian"
13022.4,0.828,"Tian"
13025.2,0.857,"Tian"
13028,0.719,"Tian"
13030.8,0.592,"Tian"
13033.6,0.701,"Tian"
13036.5,0.654,"Tian"
13039.3,0.718,"Tian"
13042.1,0.683,"Tian"
13044.9,0.905,"Tian"
13047.7,0.618,"Tian"
13050.5,0.75,"Tian"
13053.3,0.587,"Tian"
13056.2,0.747,"Tian"
13059.1,1.063,"Tian"
13062.1,0.781,"Tian"
13064.2,0.782,"Tian"
13067.2,0.726,"Tian"
13070.1,0.951,"Tian"
13073,0.95,"Tian"
13075.9,0.972,"Tian"
13078.8,0.934,"Tian"
13081.8,0.95,"Tian"
13084.7,0.826,"Tian"
13087.6,0.933,"Tian"
13090.5,0.863,"Tian"
13093.5,0.922,"Tian"
13097.4,0.797,"Tian"
13101.2,0.855,"Tian"
13105.1,0.847,"Tian"
13108.9,0.934,"Tian"
13112.8,0.771,"Tian"
13116.6,0.919,"Tian"
13120.5,0.777,"Tian"
13124.4,0.932,"Tian"
13131.1,0.778,"Tian"
13135.6,0.411,"Tian"
13141.1,0.747,"Tian"
13146.7,0.755,"Tian"
13152.2,1.114,"Tian"
13157.8,0.96,"Tian"
13163.3,0.67,"Tian"
13168.9,0.663,"Tian"
13173,0.571,"Tian"
13174.8,1.007,"Tian"
13176.7,1.037,"Tian"
13178.6,0.83,"Tian"
13178.6,0.902,"Tian"
13180.4,0.864,"Tian"
13182.3,0.7,"Tian"
13184.2,0.673,"Tian"
