"age","d13c","auth"
15767,1.54,"Holbourn"
15773,1.54,"Holbourn"
15780,1.64,"Holbourn"
15787,1.68,"Holbourn"
15794,1.5,"Holbourn"
15800,1.34,"Holbourn"
15804,1.23,"Holbourn"
15808,1.55,"Holbourn"
15812,1.48,"Holbourn"
15816,1.66,"Holbourn"
15820,1.76,"Holbourn"
15824,1.72,"Holbourn"
15828,1.49,"Holbourn"
15832,1.64,"Holbourn"
15836,1.79,"Holbourn"
15840,1.63,"Holbourn"
15844,1.66,"Holbourn"
15848,1.7,"Holbourn"
15852,1.68,"Holbourn"
15856,1.56,"Holbourn"
15860,1.717,"Holbourn"
15864,1.636,"Holbourn"
15868,1.534,"Holbourn"
15872,1.6,"Holbourn"
15876,1.77,"Holbourn"
15880,1.669,"Holbourn"
15884,1.404,"Holbourn"
15888,1.817,"Holbourn"
15893,1.337,"Holbourn"
15899,1.548,"Holbourn"
15903,1.409,"Holbourn"
15908,1.579,"Holbourn"
15913,1.568,"Holbourn"
15919,1.61,"Holbourn"
15922,1.56,"Holbourn"
15928,1.58,"Holbourn"
15933,1.634,"Holbourn"
15940,1.562,"Holbourn"
15944,1.71,"Holbourn"
15949,1.574,"Holbourn"
15954,1.479,"Holbourn"
15959,1.459,"Holbourn"
15964,1.257,"Holbourn"
15970,1.285,"Holbourn"
15974,1.292,"Holbourn"
15980,1.001,"Holbourn"
15985,1.052,"Holbourn"
15990,1.298,"Holbourn"
15996,1.002,"Holbourn"
16006,1.163,"Holbourn"
16011,1.081,"Holbourn"
16017,0.986,"Holbourn"
16023,1.51,"Holbourn"
16028,1.605,"Holbourn"
16034,1.435,"Holbourn"
16039,1.398,"Holbourn"
16045,1.466,"Holbourn"
16049,1.463,"Holbourn"
16054,1.659,"Holbourn"
16059,1.459,"Holbourn"
16065,1.477,"Holbourn"
16073,1.5,"Holbourn"
16079,1.48,"Holbourn"
16084,1.534,"Holbourn"
16090,1.624,"Holbourn"
16095,1.752,"Holbourn"
16100,1.722,"Holbourn"
16107,1.511,"Holbourn"
16112,1.511,"Holbourn"
16118,1.22,"Holbourn"
16124,1.291,"Holbourn"
16129,1.263,"Holbourn"
16135,1.388,"Holbourn"
16147,1.213,"Holbourn"
16152,1.305,"Holbourn"
16159,1.251,"Holbourn"
16164,1.204,"Holbourn"
16172,1.294,"Holbourn"
16176,1.484,"Holbourn"
16179,1.403,"Holbourn"
16186,1.166,"Holbourn"
16192,1.089,"Holbourn"
16195,1.195,"Holbourn"
16203,1.109,"Holbourn"
16208,1.25,"Holbourn"
16214,1.112,"Holbourn"
16220,1.075,"Holbourn"
16225,1.231,"Holbourn"
16231,1.325,"Holbourn"
16236,1.325,"Holbourn"
16242,1.241,"Holbourn"
16248,1.252,"Holbourn"
16253,1.226,"Holbourn"
16259,1.094,"Holbourn"
16265,1.114,"Holbourn"
16270,1.201,"Holbourn"
16276,1.227,"Holbourn"
16281,1.322,"Holbourn"
16287,1.335,"Holbourn"
16293,1.135,"Holbourn"
16298,1.301,"Holbourn"
16304,1.211,"Holbourn"
16310,1.144,"Holbourn"
16315,0.98,"Holbourn"
16321,0.999,"Holbourn"
16326,1.033,"Holbourn"
16332,0.999,"Holbourn"
16338,0.857,"Holbourn"
16339,0.981,"Holbourn"
16344,1.105,"Holbourn"
16351,1.209,"Holbourn"
16359,1.009,"Holbourn"
16366,0.921,"Holbourn"
16374,1.147,"Holbourn"
16381,1.212,"Holbourn"
16390,1.011,"Holbourn"
16396,1.054,"Holbourn"
16404,1.031,"Holbourn"
16412,1.191,"Holbourn"
16419,1.012,"Holbourn"
16427,1.002,"Holbourn"
16434,1.014,"Holbourn"
16442,1.133,"Holbourn"
16449,0.845,"Holbourn"
16456,0.755,"Holbourn"
16461,1.278,"Holbourn"
16469,1.218,"Holbourn"
16474,0.968,"Holbourn"
16480,1.022,"Holbourn"
16486,1.121,"Holbourn"
16492,1.152,"Holbourn"
16498,1.208,"Holbourn"
16502,1.103,"Holbourn"
16509,1.07,"Holbourn"
16514,1.011,"Holbourn"
16518,1.225,"Holbourn"
16526,1.155,"Holbourn"
16531,1.306,"Holbourn"
16537,1.252,"Holbourn"
16543,1.3,"Holbourn"
16548,1.144,"Holbourn"
16556,0.976,"Holbourn"
16562,1.012,"Holbourn"
16566,1.348,"Holbourn"
16573,1.393,"Holbourn"
16579,1.267,"Holbourn"
16585,1.257,"Holbourn"
16590,1.339,"Holbourn"
16596,1.302,"Holbourn"
16602,1.326,"Holbourn"
16607,1.367,"Holbourn"
16613,1.155,"Holbourn"
16620,1.361,"Holbourn"
16625,1.329,"Holbourn"
16631,1.293,"Holbourn"
16635,1.389,"Holbourn"
16642,1.37,"Holbourn"
16648,1.207,"Holbourn"
16654,0.954,"Holbourn"
16660,0.75,"Holbourn"
16665,0.986,"Holbourn"
16670,1.01,"Holbourn"
16677,0.994,"Holbourn"
16683,0.874,"Holbourn"
16686,0.914,"Holbourn"
16692,0.929,"Holbourn"
16698,0.906,"Holbourn"
16704,0.83,"Holbourn"
16709,0.798,"Holbourn"
16715,0.982,"Holbourn"
16721,1.022,"Holbourn"
16727,0.699,"Holbourn"
16731,0.607,"Holbourn"
16737,0.537,"Holbourn"
16744,0.511,"Holbourn"
16750,0.666,"Holbourn"
16755,0.813,"Holbourn"
16761,0.693,"Holbourn"
16767,0.776,"Holbourn"
16772,0.683,"Holbourn"
16784,0.687,"Holbourn"
16791,0.322,"Holbourn"
16795,0.795,"Holbourn"
16800,0.775,"Holbourn"
16807,0.619,"Holbourn"
16813,0.829,"Holbourn"
16821,0.887,"Holbourn"
16826,0.691,"Holbourn"
16831,0.638,"Holbourn"
16837,0.635,"Holbourn"
16844,0.721,"Holbourn"
16850,0.742,"Holbourn"
16855,0.381,"Holbourn"
16863,0.623,"Holbourn"
16870,0.785,"Holbourn"
16875,0.468,"Holbourn"
16881,0.653,"Holbourn"
16887,0.681,"Holbourn"
16894,0.579,"Holbourn"
16900,0.55,"Holbourn"
16905,0.795,"Holbourn"
16911,0.87,"Holbourn"
16916,0.87,"Holbourn"
16923,0.941,"Holbourn"
16928,1.003,"Holbourn"
16934,0.921,"Holbourn"
16939,0.973,"Holbourn"
16944,1.044,"Holbourn"
16952,0.788,"Holbourn"
16958,0.836,"Holbourn"
16964,0.843,"Holbourn"
16970,0.883,"Holbourn"
16975,0.796,"Holbourn"
16980,0.954,"Holbourn"
16988,0.85,"Holbourn"
16995,0.784,"Holbourn"
17000,0.665,"Holbourn"
17006,0.803,"Holbourn"
17012,0.82,"Holbourn"
17018,0.865,"Holbourn"
17024,0.958,"Holbourn"
17030,0.86,"Holbourn"
17036,0.86,"Holbourn"
17043,0.945,"Holbourn"
17047,0.88,"Holbourn"
17054,0.827,"Holbourn"
17059,0.854,"Holbourn"
17066,0.82,"Holbourn"
17072,0.922,"Holbourn"
17078,0.872,"Holbourn"
17084,0.905,"Holbourn"
17090,0.582,"Holbourn"
17095,0.589,"Holbourn"
17100,0.772,"Holbourn"
17105,0.684,"Holbourn"
17110,0.549,"Holbourn"
17115,0.91,"Holbourn"
17120,0.733,"Holbourn"
17126,0.771,"Holbourn"
17130,0.958,"Holbourn"
17135,0.993,"Holbourn"
17141,0.926,"Holbourn"
17145,0.858,"Holbourn"
17150,0.894,"Holbourn"
17155,0.86,"Holbourn"
17160,0.879,"Holbourn"
17165,0.838,"Holbourn"
17170,0.735,"Holbourn"
17175,0.853,"Holbourn"
17178,0.709,"Holbourn"
17185,0.674,"Holbourn"
17189,0.592,"Holbourn"
17194,0.843,"Holbourn"
17199,0.821,"Holbourn"
17201,0.89,"Holbourn"
17206,0.81,"Holbourn"
17210,0.65,"Holbourn"
17215,0.9,"Holbourn"
17220,0.85,"Holbourn"
17225,0.87,"Holbourn"
17230,0.8,"Holbourn"
17234,0.73,"Holbourn"
17239,0.75,"Holbourn"
17244,0.75,"Holbourn"
17249,0.74,"Holbourn"
17253,0.85,"Holbourn"
17258,0.73,"Holbourn"
17263,0.58,"Holbourn"
17268,0.77,"Holbourn"
17272,0.69,"Holbourn"
17277,0.74,"Holbourn"
17282,0.71,"Holbourn"
17287,0.76,"Holbourn"
17291,0.73,"Holbourn"
17296,0.43,"Holbourn"
17301,0.33,"Holbourn"
17306,0.5,"Holbourn"
17310,0.89,"Holbourn"
17315,0.99,"Holbourn"
17320,0.97,"Holbourn"
17324,1.05,"Holbourn"
17329,1.09,"Holbourn"
17334,1.11,"Holbourn"
17338,0.99,"Holbourn"
17343,0.82,"Holbourn"
17348,0.8,"Holbourn"
17352,0.83,"Holbourn"
17357,0.7,"Holbourn"
17362,0.84,"Holbourn"
17366,0.6,"Holbourn"
17371,0.85,"Holbourn"
17376,0.6,"Holbourn"
17380,0.59,"Holbourn"
17385,0.64,"Holbourn"
17390,0.63,"Holbourn"
17394,0.79,"Holbourn"
17399,0.48,"Holbourn"
17404,0.33,"Holbourn"
17408,0.52,"Holbourn"
17413,0.61,"Holbourn"
17417,0.607,"Holbourn"
17422,0.697,"Holbourn"
17426,0.851,"Holbourn"
17430,0.715,"Holbourn"
17436,0.574,"Holbourn"
17441,0.734,"Holbourn"
17445,0.623,"Holbourn"
17450,0.713,"Holbourn"
17455,0.42,"Holbourn"
17458,0.846,"Holbourn"
17461,0.878,"Holbourn"
17465,0.692,"Holbourn"
17470,0.528,"Holbourn"
17473,0.625,"Holbourn"
17475,0.678,"Holbourn"
17479,0.786,"Holbourn"
17483,0.846,"Holbourn"
17488,0.681,"Holbourn"
17492,0.632,"Holbourn"
17495,0.565,"Holbourn"
17499,0.595,"Holbourn"
17503,0.312,"Holbourn"
17507,0.556,"Holbourn"
17511,0.708,"Holbourn"
17514,0.687,"Holbourn"
17518,0.637,"Holbourn"
17522,0.708,"Holbourn"
17525,0.487,"Holbourn"
17529,0.695,"Holbourn"
17533,0.582,"Holbourn"
17537,0.647,"Holbourn"
17540,0.609,"Holbourn"
17544,0.552,"Holbourn"
17548,0.777,"Holbourn"
17551,0.749,"Holbourn"
17555,0.614,"Holbourn"
17559,0.571,"Holbourn"
17563,0.438,"Holbourn"
17566,0.58,"Holbourn"
17570,0.258,"Holbourn"
17574,0.426,"Holbourn"
17578,0.384,"Holbourn"
17581,0.433,"Holbourn"
17585,0.374,"Holbourn"
17591,0.554,"Holbourn"
17596,0.56,"Holbourn"
17602,0.423,"Holbourn"
17608,0.569,"Holbourn"
17608,0.52,"Holbourn"
17614,0.56,"Holbourn"
17620,0.59,"Holbourn"
17626,0.28,"Holbourn"
17631,0.35,"Holbourn"
17637,0.24,"Holbourn"
17643,0.14,"Holbourn"
17648,0.33,"Holbourn"
17654,0.34,"Holbourn"
17660,0,"Holbourn"
17668,-0.04,"Holbourn"
17676,0.45,"Holbourn"
17685,0.39,"Holbourn"
17694,0.52,"Holbourn"
17702,0.54,"Holbourn"
17711,0.68,"Holbourn"
17719,0.68,"Holbourn"
17728,0.66,"Holbourn"
17736,0.65,"Holbourn"
17743,0.66,"Holbourn"
17751,0.54,"Holbourn"
17759,0.54,"Holbourn"
17767,0.54,"Holbourn"
17775,0.53,"Holbourn"
17782,0.21,"Holbourn"
17790,0.61,"Holbourn"
17798,0.64,"Holbourn"
17806,0.36,"Holbourn"
17814,0.54,"Holbourn"
17822,0.79,"Holbourn"
17829,0.48,"Holbourn"
17837,0.61,"Holbourn"
17845,0.78,"Holbourn"
17853,0.83,"Holbourn"
17861,0.75,"Holbourn"
17868,0.62,"Holbourn"
17876,0.47,"Holbourn"
17884,0.44,"Holbourn"
17891,0.58,"Holbourn"
17897,0.66,"Holbourn"
17904,0.62,"Holbourn"
17911,0.55,"Holbourn"
17917,0.68,"Holbourn"
17924,0.53,"Holbourn"
17931,0.44,"Holbourn"
17937,0.51,"Holbourn"
17944,0.46,"Holbourn"
17950,0.66,"Holbourn"
17957,0.44,"Holbourn"
17964,0.38,"Holbourn"
17970,0.43,"Holbourn"
17977,0.51,"Holbourn"
17984,0.33,"Holbourn"
17991,0.3,"Holbourn"
17997,0.4,"Holbourn"
18004,0.52,"Holbourn"
18011,0.61,"Holbourn"
18018,0.61,"Holbourn"
18025,0.71,"Holbourn"
18031,0.31,"Holbourn"
18038,0.438,"Holbourn"
18044,0.461,"Holbourn"
18051,0.313,"Holbourn"
18058,0.301,"Holbourn"
18065,0.513,"Holbourn"
18072,0.52,"Holbourn"
18079,0.062,"Holbourn"
18087,0.375,"Holbourn"
18094,0.568,"Holbourn"
18101,0.68,"Holbourn"
18108,0.441,"Holbourn"
18115,0.418,"Holbourn"
18122,0.689,"Holbourn"
18129,0.579,"Holbourn"
18136,0.616,"Holbourn"
18144,0.574,"Holbourn"
18151,0.59,"Holbourn"
18157,0.749,"Holbourn"
18163,0.579,"Holbourn"
18170,0.702,"Holbourn"
18176,0.593,"Holbourn"
18183,0.486,"Holbourn"
18189,0.39,"Holbourn"
18195,0.464,"Holbourn"
18202,0.454,"Holbourn"
18208,0.582,"Holbourn"
18215,0.482,"Holbourn"
18221,0.453,"Holbourn"
18228,0.688,"Holbourn"
18234,0.502,"Holbourn"
18241,0.318,"Holbourn"
18247,0.337,"Holbourn"
18253,0.618,"Holbourn"
18260,0.686,"Holbourn"
18266,0.663,"Holbourn"
18273,0.692,"Holbourn"
18279,0.825,"Holbourn"
18286,0.657,"Holbourn"
18292,0.607,"Holbourn"
18299,0.653,"Holbourn"
18305,0.736,"Holbourn"
18311,0.733,"Holbourn"
18318,0.575,"Holbourn"
18324,0.739,"Holbourn"
18331,0.543,"Holbourn"
18335,0.317,"Holbourn"
18348,0.293,"Holbourn"
18359,0.711,"Holbourn"
18366,0.632,"Holbourn"
18369,0.564,"Holbourn"
18374,0.471,"Holbourn"
18378,0.658,"Holbourn"
18382,0.69,"Holbourn"
18386,0.5,"Holbourn"
18392,0.51,"Holbourn"
18398,0.449,"Holbourn"
18402,0.67,"Holbourn"
18411,0.237,"Holbourn"
18417,0.322,"Holbourn"
18422,0.399,"Holbourn"
18428,0.335,"Holbourn"
18434,0.459,"Holbourn"
18440,0.472,"Holbourn"
18446,0.542,"Holbourn"
18452,0.21,"Holbourn"
18458,0.621,"Holbourn"
18464,0.63,"Holbourn"
18470,0.514,"Holbourn"
18476,0.604,"Holbourn"
18481,0.559,"Holbourn"
18487,0.493,"Holbourn"
18493,0.788,"Holbourn"
18499,0.681,"Holbourn"
18505,0.488,"Holbourn"
18511,0.491,"Holbourn"
18517,0.449,"Holbourn"
18523,0.709,"Holbourn"
18528,0.555,"Holbourn"
18533,0.272,"Holbourn"
18538,0.525,"Holbourn"
18542,0.575,"Holbourn"
18547,0.61,"Holbourn"
18552,0.843,"Holbourn"
18557,0.796,"Holbourn"
18562,0.573,"Holbourn"
18567,0.659,"Holbourn"
18570,0.609,"Holbourn"
18576,0.609,"Holbourn"
18581,0.569,"Holbourn"
18586,0.569,"Holbourn"
18591,0.167,"Holbourn"
18596,0.219,"Holbourn"
18601,0.597,"Holbourn"
18605,0.619,"Holbourn"
18610,0.676,"Holbourn"
18615,0.712,"Holbourn"
18620,0.76,"Holbourn"
18625,0.773,"Holbourn"
18630,0.68,"Holbourn"
18635,0.59,"Holbourn"
18639,0.55,"Holbourn"
18644,0.419,"Holbourn"
18649,0.631,"Holbourn"
18654,0.799,"Holbourn"
18659,0.495,"Holbourn"
18664,0.559,"Holbourn"
18669,0.535,"Holbourn"
18673,0.505,"Holbourn"
18674,0.386,"Holbourn"
18679,0.437,"Holbourn"
18684,0.538,"Holbourn"
18689,0.587,"Holbourn"
18694,0.564,"Holbourn"
18699,0.35,"Holbourn"
18703,0.544,"Holbourn"
18708,0.55,"Holbourn"
18713,0.541,"Holbourn"
18718,0.638,"Holbourn"
18724,0.428,"Holbourn"
18730,0.366,"Holbourn"
18736,0.399,"Holbourn"
18742,0.396,"Holbourn"
18748,0.476,"Holbourn"
18754,0.374,"Holbourn"
18760,0.439,"Holbourn"
18766,0.308,"Holbourn"
18772,0.32,"Holbourn"
18778,0.072,"Holbourn"
18784,0.266,"Holbourn"
18790,0.561,"Holbourn"
18796,0.448,"Holbourn"
18802,0.652,"Holbourn"
18808,0.497,"Holbourn"
18814,0.461,"Holbourn"
18819,0.47,"Holbourn"
18825,0.52,"Holbourn"
18831,0.486,"Holbourn"
18837,0.58,"Holbourn"
18842,0.542,"Holbourn"
18847,0.643,"Holbourn"
18853,0.442,"Holbourn"
18858,0.75,"Holbourn"
18863,0.658,"Holbourn"
18868,0.49,"Holbourn"
18874,0.429,"Holbourn"
18879,0.634,"Holbourn"
18883,0.742,"Holbourn"
18888,0.701,"Holbourn"
18894,0.709,"Holbourn"
18899,0.726,"Holbourn"
18904,0.664,"Holbourn"
18909,0.88,"Holbourn"
18915,0.713,"Holbourn"
18920,0.832,"Holbourn"
18925,0.641,"Holbourn"
18930,0.838,"Holbourn"
18936,0.602,"Holbourn"
18941,0.762,"Holbourn"
18946,0.577,"Holbourn"
18951,0.741,"Holbourn"
18957,0.71,"Holbourn"
18962,0.77,"Holbourn"
18967,0.812,"Holbourn"
18972,0.781,"Holbourn"
18978,0.712,"Holbourn"
18983,0.624,"Holbourn"
18988,0.67,"Holbourn"
18993,0.78,"Holbourn"
18999,0.788,"Holbourn"
19004,0.88,"Holbourn"
19009,0.676,"Holbourn"
19014,0.817,"Holbourn"
19020,0.793,"Holbourn"
19025,0.82,"Holbourn"
19030,0.747,"Holbourn"
19035,0.714,"Holbourn"
19039,0.676,"Holbourn"
19043,0.67,"Holbourn"
19046,0.581,"Holbourn"
19050,0.479,"Holbourn"
19054,0.663,"Holbourn"
19057,0.602,"Holbourn"
19061,0.799,"Holbourn"
19065,0.787,"Holbourn"
19068,0.763,"Holbourn"
19072,0.6,"Holbourn"
19076,0.674,"Holbourn"
19079,0.693,"Holbourn"
19082,0.579,"Holbourn"
19085,0.727,"Holbourn"
19088,0.781,"Holbourn"
19092,0.901,"Holbourn"
19096,0.865,"Holbourn"
19099,0.837,"Holbourn"
19103,0.626,"Holbourn"
19107,0.545,"Holbourn"
19110,0.48,"Holbourn"
19114,0.466,"Holbourn"
19118,0.62,"Holbourn"
19121,0.6,"Holbourn"
19125,0.757,"Holbourn"
19129,0.759,"Holbourn"
19132,0.735,"Holbourn"
19136,0.726,"Holbourn"
19140,0.865,"Holbourn"
19143,0.856,"Holbourn"
19147,0.81,"Holbourn"
19151,0.713,"Holbourn"
19154,0.647,"Holbourn"
19158,0.424,"Holbourn"
19162,0.436,"Holbourn"
19166,0.422,"Holbourn"
19170,0.503,"Holbourn"
19174,0.605,"Holbourn"
19178,0.64,"Holbourn"
19182,0.833,"Holbourn"
19186,0.616,"Holbourn"
19190,0.732,"Holbourn"
19193,0.702,"Holbourn"
19197,0.673,"Holbourn"
19201,0.723,"Holbourn"
19205,0.778,"Holbourn"
19209,0.619,"Holbourn"
19213,0.543,"Holbourn"
19217,0.59,"Holbourn"
19221,0.49,"Holbourn"
19225,0.545,"Holbourn"
19229,0.485,"Holbourn"
19233,0.522,"Holbourn"
19237,0.61,"Holbourn"
19241,0.554,"Holbourn"
19245,0.673,"Holbourn"
19249,0.593,"Holbourn"
19253,0.723,"Holbourn"
19257,0.651,"Holbourn"
19261,0.676,"Holbourn"
19265,0.481,"Holbourn"
19269,0.737,"Holbourn"
19273,0.775,"Holbourn"
19277,0.734,"Holbourn"
19281,0.845,"Holbourn"
19285,0.828,"Holbourn"
19289,0.815,"Holbourn"
19293,0.585,"Holbourn"
19297,0.703,"Holbourn"
19301,0.688,"Holbourn"
19305,0.86,"Holbourn"
19309,0.916,"Holbourn"
19313,1.146,"Holbourn"
19318,0.916,"Holbourn"
19322,1.058,"Holbourn"
19326,1.037,"Holbourn"
19330,0.928,"Holbourn"
19334,0.929,"Holbourn"
19338,1.041,"Holbourn"
19342,0.882,"Holbourn"
19346,0.909,"Holbourn"
19350,0.868,"Holbourn"
19354,0.896,"Holbourn"
19358,0.753,"Holbourn"
19362,0.81,"Holbourn"
19366,0.769,"Holbourn"
19370,0.721,"Holbourn"
19378,0.875,"Holbourn"
19380,0.958,"Holbourn"
19385,0.792,"Holbourn"
19389,0.728,"Holbourn"
19393,0.921,"Holbourn"
19397,0.884,"Holbourn"
19401,0.723,"Holbourn"
19405,0.76,"Holbourn"
19409,0.922,"Holbourn"
19413,0.979,"Holbourn"
19417,0.769,"Holbourn"
19421,1.023,"Holbourn"
19425,0.951,"Holbourn"
19429,0.895,"Holbourn"
19433,1.002,"Holbourn"
19437,1.046,"Holbourn"
19441,0.665,"Holbourn"
19445,0.694,"Holbourn"
19449,0.699,"Holbourn"
19453,0.951,"Holbourn"
19457,1.016,"Holbourn"
19461,0.832,"Holbourn"
19465,1.031,"Holbourn"
19469,1.087,"Holbourn"
19473,0.958,"Holbourn"
19477,0.764,"Holbourn"
19481,0.691,"Holbourn"
19485,0.943,"Holbourn"
19489,0.924,"Holbourn"
19493,0.959,"Holbourn"
19497,0.945,"Holbourn"
19502,0.829,"Holbourn"
19506,0.776,"Holbourn"
19510,0.793,"Holbourn"
19514,0.702,"Holbourn"
19518,0.789,"Holbourn"
19522,0.756,"Holbourn"
19526,0.529,"Holbourn"
19530,0.483,"Holbourn"
19534,0.501,"Holbourn"
19538,0.588,"Holbourn"
19542,0.581,"Holbourn"
19546,0.702,"Holbourn"
19550,0.62,"Holbourn"
19554,0.431,"Holbourn"
19558,0.16,"Holbourn"
19561,0.304,"Holbourn"
19564,0.289,"Holbourn"
19566,0.654,"Holbourn"
19569,0.477,"Holbourn"
19571,0.577,"Holbourn"
19574,0.417,"Holbourn"
19577,0.461,"Holbourn"
19582,0.976,"Holbourn"
19585,0.666,"Holbourn"
19587,0.766,"Holbourn"
19590,0.711,"Holbourn"
19592,0.777,"Holbourn"
19595,0.771,"Holbourn"
19598,0.801,"Holbourn"
19600,0.782,"Holbourn"
19603,0.62,"Holbourn"
19605,0.853,"Holbourn"
19608,0.808,"Holbourn"
19611,0.649,"Holbourn"
19613,0.618,"Holbourn"
19616,0.695,"Holbourn"
19619,0.736,"Holbourn"
19621,0.571,"Holbourn"
19624,0.722,"Holbourn"
19626,0.484,"Holbourn"
19629,0.344,"Holbourn"
19632,0.205,"Holbourn"
19636,0.306,"Holbourn"
19640,0.21,"Holbourn"
19644,0.246,"Holbourn"
19648,0.316,"Holbourn"
19652,0.65,"Holbourn"
19656,0.573,"Holbourn"
19660,0.564,"Holbourn"
19664,0.411,"Holbourn"
19668,0.346,"Holbourn"
19672,0.319,"Holbourn"
19676,0.202,"Holbourn"
19680,0.343,"Holbourn"
19684,0.87,"Holbourn"
19688,0.757,"Holbourn"
19692,0.545,"Holbourn"
19696,0.195,"Holbourn"
19700,0.6,"Holbourn"
19704,0.816,"Holbourn"
19708,0.865,"Holbourn"
19712,0.823,"Holbourn"
19716,0.769,"Holbourn"
19720,0.572,"Holbourn"
19724,0.627,"Holbourn"
19728,0.753,"Holbourn"
19733,0.805,"Holbourn"
19737,0.803,"Holbourn"
19741,0.773,"Holbourn"
19745,0.767,"Holbourn"
19749,0.485,"Holbourn"
19753,0.39,"Holbourn"
19757,0.295,"Holbourn"
19761,0.26,"Holbourn"
19765,0.269,"Holbourn"
19768,0.55,"Holbourn"
19771,0.465,"Holbourn"
19774,0.843,"Holbourn"
19777,0.936,"Holbourn"
19780,0.741,"Holbourn"
19783,0.638,"Holbourn"
19786,0.815,"Holbourn"
19789,0.993,"Holbourn"
19792,0.935,"Holbourn"
19795,0.939,"Holbourn"
19798,0.679,"Holbourn"
19801,0.745,"Holbourn"
19804,0.663,"Holbourn"
19807,0.783,"Holbourn"
19810,0.791,"Holbourn"
19813,0.76,"Holbourn"
19816,0.74,"Holbourn"
19819,0.82,"Holbourn"
19822,0.765,"Holbourn"
19825,0.571,"Holbourn"
19829,0.958,"Holbourn"
19832,0.855,"Holbourn"
19835,0.99,"Holbourn"
19838,0.898,"Holbourn"
19841,0.73,"Holbourn"
19844,0.823,"Holbourn"
19848,0.818,"Holbourn"
19851,0.818,"Holbourn"
19855,0.76,"Holbourn"
19858,0.694,"Holbourn"
19862,0.457,"Holbourn"
19866,0.581,"Holbourn"
19870,0.838,"Holbourn"
19873,0.772,"Holbourn"
19877,0.73,"Holbourn"
19880,0.682,"Holbourn"
19884,0.644,"Holbourn"
19888,0.692,"Holbourn"
19891,0.706,"Holbourn"
19895,0.673,"Holbourn"
19899,0.653,"Holbourn"
19902,0.343,"Holbourn"
19906,0.426,"Holbourn"
19909,0.715,"Holbourn"
19913,0.714,"Holbourn"
19917,0.647,"Holbourn"
19920,0.626,"Holbourn"
19924,0.717,"Holbourn"
19927,0.527,"Holbourn"
19931,0.316,"Holbourn"
19935,0.115,"Holbourn"
19938,0.502,"Holbourn"
19942,0.611,"Holbourn"
19945,0.508,"Holbourn"
19949,0.635,"Holbourn"
19952,0.407,"Holbourn"
19956,0.296,"Holbourn"
19959,0.384,"Holbourn"
19963,0.503,"Holbourn"
19966,0.682,"Holbourn"
19970,0.652,"Holbourn"
19973,0.673,"Holbourn"
19977,0.711,"Holbourn"
19980,0.393,"Holbourn"
19984,0.32,"Holbourn"
19987,0.584,"Holbourn"
19991,0.462,"Holbourn"
19994,0.455,"Holbourn"
19998,0.392,"Holbourn"
20001,0.561,"Holbourn"
20005,0.053,"Holbourn"
20008,0.22,"Holbourn"
20011,0.116,"Holbourn"
20015,0.431,"Holbourn"
20018,0.184,"Holbourn"
20022,0.32,"Holbourn"
20025,0.501,"Holbourn"
20029,0.431,"Holbourn"
20032,0.189,"Holbourn"
20176,0.82,"Palike"
20274,0.813,"Palike"
20358,0.84,"Palike"
20437,0.821,"Palike"
20440,0.854,"Palike"
20509,0.948,"Palike"
20637,1.054,"Palike"
20708,0.82,"Palike"
20798,0.587,"Palike"
20865,0.89,"Palike"
20910,1.101,"Palike"
20926,1.156,"Palike"
20971,0.99,"Palike"
20987,0.89,"Palike"
21032,1.12,"Palike"
21048,0.776,"Palike"
21090,1.06,"Palike"
21097,1.083,"Palike"
21132,0.56,"Palike"
21174,0.865,"Palike"
21217,0.5,"Palike"
21261,0.826,"Palike"
21305,0.872,"Palike"
21349,1.048,"Palike"
21393,1.23,"Palike"
21439,1.099,"Palike"
21555,0.618,"Palike"
21558,0.522,"Palike"
21564,0.658,"Palike"
21568,0.652,"Palike"
21573,0.701,"Palike"
21577,1.029,"Palike"
21582,0.497,"Palike"
21586,0.645,"Palike"
21590,0.289,"Palike"
21595,0.93,"Palike"
21599,0.769,"Palike"
21602,0.74,"Palike"
21604,0.833,"Palike"
21611,0.208,"Palike"
21613,0.339,"Palike"
21617,0.482,"Palike"
21625,0.78,"Palike"
21637,0.357,"Palike"
21641,0.662,"Palike"
21643,1.304,"Palike"
21645,0.832,"Palike"
21646,1.36,"Palike"
21646,1.36,"Palike"
21648,0.814,"Palike"
21656,0.644,"Palike"
21663,1.023,"Palike"
21665,1.116,"Palike"
21667,0.996,"Palike"
21669,1.018,"Palike"
21672,1.113,"Palike"
21677,0.668,"Palike"
21679,0.49,"Palike"
21681,0.883,"Palike"
21682,0.63,"Palike"
21683,0.708,"Palike"
21685,0.611,"Palike"
21689,0.901,"Palike"
21694,0.81,"Palike"
21699,0.996,"Palike"
21707,0.333,"Palike"
21715,1.035,"Palike"
21723,0.806,"Palike"
21728,0.85,"Palike"
21732,0.652,"Palike"
21736,0.93,"Palike"
21738,1.564,"Palike"
21740,1.043,"Palike"
21743,0.881,"Palike"
21745,0.862,"Palike"
21751,0.692,"Palike"
21756,0.877,"Palike"
21763,1.12,"Palike"
21769,0.87,"Palike"
21775,1.217,"Palike"
21777,0.928,"Palike"
21779,1.1,"Palike"
21780,1.282,"Palike"
21782,1.222,"Palike"
21785,1.191,"Palike"
21787,1.145,"Palike"
21790,1.5,"Palike"
21793,1.231,"Palike"
