"depth","age","d13c","d18o","auth"
284.37,12699.3,0.881,2.33,"Tian"
284.45,12702,0.838,2.313,"Tian"
284.53,12704.7,0.938,2.258,"Tian"
284.61,12707.4,0.869,2.191,"Tian"
284.69,12710.1,0.871,2.274,"Tian"
284.77,12712.8,0.647,2.263,"Tian"
284.85,12715.5,0.947,2.293,"Tian"
284.93,12718.2,0.832,2.315,"Tian"
285.01,12720.9,0.838,2.287,"Tian"
285.09,12723.6,0.875,2.323,"Tian"
285.17,12726.3,0.74,2.287,"Tian"
285.25,12729,0.856,2.245,"Tian"
285.33,12732.9,0.98,2.369,"Tian"
285.41,12737,0.908,2.302,"Tian"
285.49,12741.1,0.826,2.194,"Tian"
285.57,12745.2,0.888,2.286,"Tian"
285.65,12749.3,0.793,2.29,"Tian"
285.71,12752.4,0.612,2.334,"Tian"
285.79,12756.5,0.874,2.358,"Tian"
285.87,12760.6,0.76,2.1,"Tian"
285.95,12764.6,0.46,2.109,"Tian"
286.03,12768.4,0.837,2.279,"Tian"
286.11,12772.1,0.668,2.496,"Tian"
286.19,12775.9,0.656,2.264,"Tian"
286.27,12779.6,0.776,2.203,"Tian"
286.35,12783.4,0.753,2.157,"Tian"
286.43,12787.1,0.879,2.28,"Tian"
286.51,12790.9,0.588,2.289,"Tian"
286.59,12794.6,0.711,2.237,"Tian"
286.67,12798.4,0.779,2.356,"Tian"
286.75,12802.2,0.388,2.455,"Tian"
286.83,12805.9,0.638,2.195,"Tian"
286.91,12809.7,0.711,2.178,"Tian"
286.99,12812.4,0.835,2.215,"Tian"
287.07,12815.1,0.689,2.23,"Tian"
287.15,12817.8,0.646,2.178,"Tian"
287.21,12819.8,0.792,2.434,"Tian"
287.29,12822.5,0.739,2.271,"Tian"
287.37,12825.2,0.757,2.328,"Tian"
287.45,12827.9,0.63,2.213,"Tian"
287.53,12830.6,0.518,2.198,"Tian"
287.61,12833.2,0.706,2.105,"Tian"
287.69,12835.9,0.693,2.456,"Tian"
287.77,12838.6,0.508,2.274,"Tian"
287.85,12841.3,0.591,2.384,"Tian"
287.93,12844,0.461,2.238,"Tian"
288.01,12846.7,0.587,2.026,"Tian"
288.09,12849.4,0.562,1.966,"Tian"
288.17,12853,0.586,2.087,"Tian"
288.25,12856.8,0.715,2.043,"Tian"
288.33,12860.5,0.456,2.045,"Tian"
288.41,12864.3,0.564,1.963,"Tian"
288.49,12868,0.768,2.241,"Tian"
288.57,12871.7,0.145,2.024,"Tian"
288.65,12875.5,0.669,2.266,"Tian"
288.71,12878.3,0.546,2.035,"Tian"
288.79,12882,0.677,2.078,"Tian"
288.87,12885.8,0.442,2.308,"Tian"
288.95,12889.5,0.971,2.39,"Tian"
289.03,12893.3,0.744,2.042,"Tian"
289.11,12896.3,0.675,2.08,"Tian"
289.19,12899,0.846,2.148,"Tian"
289.27,12901.6,0.927,2.168,"Tian"
289.35,12904.3,0.568,2.298,"Tian"
289.43,12906.9,0.769,2.306,"Tian"
289.51,12909.6,0.807,2.221,"Tian"
289.59,12912.2,0.752,2.261,"Tian"
289.67,12914.9,1.11,2.461,"Tian"
289.75,12917.5,0.909,2.199,"Tian"
289.83,12920.2,0.878,2.466,"Tian"
289.91,12922.9,0.91,2.395,"Tian"
289.99,12925.5,0.984,2.372,"Tian"
290.07,12928.2,0.305,2.431,"Tian"
290.15,12930.8,0.798,2.21,"Tian"
290.21,12932.9,0.865,2.081,"Tian"
290.29,12936.1,0.636,2.148,"Tian"
290.37,12939.4,0.949,2.138,"Tian"
290.52,12945.5,0.67,2.315,"Tian"
290.6,12948.8,0.88,2.544,"Tian"
290.68,12952,0.879,2.347,"Tian"
290.76,12955.3,0.827,2.065,"Tian"
290.84,12958.6,1.116,2.265,"Tian"
290.92,12961.8,0.81,2.167,"Tian"
291.08,12968.4,0.556,2.05,"Tian"
291.16,12971.9,0.733,2.05,"Tian"
291.24,12975.5,0.723,2.139,"Tian"
291.32,12979.1,0.733,2.28,"Tian"
291.4,12982.8,0.626,2.34,"Tian"
291.48,12986.4,0.682,2.415,"Tian"
291.56,12990,0.697,2.581,"Tian"
291.64,12994.2,0.96,2.46,"Tian"
291.72,12998.3,0.771,2.446,"Tian"
291.8,13002.5,0.929,2.323,"Tian"
291.88,13006.7,0.897,2.417,"Tian"
291.94,13009.8,0.889,2.251,"Tian"
292.02,13013.9,0.971,2.148,"Tian"
292.1,13016.8,0.678,2.261,"Tian"
292.18,13019.6,0.912,2.36,"Tian"
292.26,13022.4,0.828,2.193,"Tian"
292.34,13025.2,0.857,2.373,"Tian"
292.42,13028,0.719,2.367,"Tian"
292.5,13030.8,0.592,2.334,"Tian"
292.58,13033.6,0.701,2.172,"Tian"
292.66,13036.5,0.654,2.183,"Tian"
292.74,13039.3,0.718,2.13,"Tian"
292.82,13042.1,0.683,2.238,"Tian"
292.9,13044.9,0.905,2.266,"Tian"
292.98,13047.7,0.618,2.068,"Tian"
293.06,13050.5,0.75,1.958,"Tian"
293.14,13053.3,0.587,1.972,"Tian"
293.22,13056.2,0.747,2.134,"Tian"
293.3,13059.1,1.063,2.478,"Tian"
293.38,13062.1,0.781,2.349,"Tian"
293.44,13064.2,0.782,2.506,"Tian"
293.52,13067.2,0.726,2.357,"Tian"
293.6,13070.1,0.951,2.529,"Tian"
293.68,13073,0.95,2.339,"Tian"
293.76,13075.9,0.972,2.413,"Tian"
293.84,13078.8,0.934,2.28,"Tian"
293.92,13081.8,0.95,2.312,"Tian"
294,13084.7,0.826,2.17,"Tian"
294.08,13087.6,0.933,2.127,"Tian"
294.16,13090.5,0.863,2.188,"Tian"
294.24,13093.5,0.922,2.081,"Tian"
294.32,13097.4,0.797,2.111,"Tian"
294.4,13101.2,0.855,2.091,"Tian"
294.48,13105.1,0.847,2.187,"Tian"
294.56,13108.9,0.934,2.145,"Tian"
294.64,13112.8,0.771,2.028,"Tian"
294.72,13116.6,0.919,1.879,"Tian"
294.8,13120.5,0.777,1.915,"Tian"
294.88,13124.4,0.932,2.172,"Tian"
