"depth","age","d13c","d18o","auth"
322.84,14192.3,1.508,1.492,"Tian"
322.94,14197.4,1.516,1.586,"Tian"
323.04,14202.4,1.66,1.796,"Tian"
323.14,14207.5,1.242,1.45,"Tian"
323.24,14212.6,1.447,1.385,"Tian"
323.34,14217.7,1.264,1.304,"Tian"
323.44,14222.7,1.586,1.128,"Tian"
323.54,14227.8,1.205,1.111,"Tian"
323.64,14231.5,1.183,1.24,"Tian"
323.74,14235,1.485,1.481,"Tian"
323.84,14238.6,1.766,1.585,"Tian"
323.94,14242.1,1.059,1.516,"Tian"
324.02,14245,0.964,1.644,"Tian"
324.1,14247.8,1.125,1.673,"Tian"
324.18,14250.6,0.743,1.394,"Tian"
324.26,14253.5,0.821,1.471,"Tian"
324.34,14256.3,0.733,1.752,"Tian"
324.42,14259.2,0.623,1.679,"Tian"
324.51,14262.4,0.655,1.777,"Tian"
324.59,14265.2,1.321,1.761,"Tian"
324.67,14268,1.183,1.312,"Tian"
324.75,14272,1.03,1.349,"Tian"
324.83,14276.1,1.34,1.615,"Tian"
324.91,14280.3,1.248,1.59,"Tian"
324.99,14284.5,1.11,1.435,"Tian"
325.07,14288.7,1.223,1.621,"Tian"
325.15,14292.8,0.699,1.703,"Tian"
325.23,14297,1.042,1.72,"Tian"
325.31,14301.2,0.927,1.195,"Tian"
325.39,14305.3,1.183,1.394,"Tian"
325.47,14309.5,1.059,1.186,"Tian"
325.55,14312.8,1.115,1.345,"Tian"
325.63,14316,1.035,1.55,"Tian"
325.71,14319.2,1.132,1.521,"Tian"
325.79,14322.4,0.488,1.58,"Tian"
325.87,14325.7,1.013,1.507,"Tian"
325.95,14328.9,0.959,1.42,"Tian"
326.01,14331.3,1.476,1.71,"Tian"
326.09,14334.5,1.214,1.481,"Tian"
326.17,14337.7,1.236,1.451,"Tian"
326.25,14341,1.024,1.458,"Tian"
326.33,14344.2,0.997,1.34,"Tian"
326.41,14347.4,1.097,1.109,"Tian"
326.49,14353,1.156,1.259,"Tian"
326.57,14358.7,0.954,1.144,"Tian"
326.65,14364.4,0.774,1.396,"Tian"
326.73,14370.2,1.178,1.795,"Tian"
326.81,14375.9,1.051,1.699,"Tian"
326.89,14381.6,1.32,1.557,"Tian"
326.97,14387.3,1.097,1.263,"Tian"
327.05,14390.5,1.254,1.355,"Tian"
327.13,14393.8,1.116,1.395,"Tian"
327.21,14397,1.163,1.498,"Tian"
327.29,14400.2,1.212,1.671,"Tian"
327.37,14403.5,1.038,1.485,"Tian"
327.45,14406.7,1.053,1.809,"Tian"
327.51,14409.2,0.84,1.611,"Tian"
327.59,14412.4,1.089,1.693,"Tian"
327.67,14415.6,0.639,1.544,"Tian"
327.83,14422.1,0.925,1.503,"Tian"
327.99,14428.6,1.24,1.286,"Tian"
328.07,14431.5,1.538,1.514,"Tian"
328.15,14434.3,1.173,1.309,"Tian"
328.23,14437.2,1.079,1.214,"Tian"
328.31,14440.1,1.045,1.191,"Tian"
328.39,14443,0.973,1.173,"Tian"
328.47,14445.9,1.053,1.524,"Tian"
328.63,14451.6,0.877,1.622,"Tian"
328.71,14454.5,1.021,1.708,"Tian"
328.79,14457.4,1.022,1.469,"Tian"
328.87,14460.3,1.209,1.473,"Tian"
328.95,14463.2,1.032,1.413,"Tian"
329.01,14465.3,1.335,1.379,"Tian"
329.09,14468.4,1.339,1.339,"Tian"
329.17,14473.1,1.052,1.539,"Tian"
329.25,14477.7,1.187,1.528,"Tian"
329.33,14482.4,1.278,1.553,"Tian"
329.41,14487,1.261,1.794,"Tian"
329.49,14491.7,1.262,1.868,"Tian"
329.75,14506.9,1.271,1.875,"Tian"
329.85,14513.6,1.189,1.98,"Tian"
329.95,14520.2,1.355,1.892,"Tian"
330.05,14526.9,1.462,1.826,"Tian"
330.15,14533.5,1.507,1.765,"Tian"
330.25,14540.2,1.398,1.744,"Tian"
330.35,14546.9,1.478,1.381,"Tian"
330.45,14550.4,1.416,1.579,"Tian"
330.55,14553.8,1.367,1.719,"Tian"
330.65,14557.2,1.538,1.833,"Tian"
330.75,14560.7,1.401,1.775,"Tian"
330.85,14564.1,1.379,1.764,"Tian"
330.95,14567.6,1.193,1.529,"Tian"
331.05,14571,1.462,1.696,"Tian"
331.15,14574.5,1.464,1.64,"Tian"
331.25,14577.9,1.345,1.674,"Tian"
331.35,14581.4,1.38,1.475,"Tian"
331.45,14584.8,1.407,1.508,"Tian"
331.55,14588.3,1.266,1.385,"Tian"
331.65,14592.4,1.221,1.446,"Tian"
331.75,14596.6,1.337,1.543,"Tian"
331.85,14600.8,1.019,1.369,"Tian"
331.95,14605,1.268,1.815,"Tian"
332.05,14609.1,1.392,1.998,"Tian"
332.15,14613.3,1.299,1.834,"Tian"
332.25,14617.5,1.241,1.823,"Tian"
332.35,14621.7,1.39,1.893,"Tian"
332.45,14625.8,1.138,1.455,"Tian"
332.55,14634,1.554,1.573,"Tian"
332.65,14642.4,1.606,1.498,"Tian"
332.75,14650.8,1.447,1.777,"Tian"
332.85,14659.2,1.637,1.501,"Tian"
332.95,14667.4,1.521,1.347,"Tian"
333.05,14672,1.405,1.412,"Tian"
333.15,14676.6,1.427,1.364,"Tian"
333.17,14677.5,1.401,1.635,"Tian"
333.25,14681.1,1.183,1.587,"Tian"
333.33,14684.8,1.494,1.629,"Tian"
333.41,14688.4,1.429,1.659,"Tian"
333.49,14692.1,1.598,1.585,"Tian"
333.57,14695.7,1.573,1.586,"Tian"
333.65,14699.4,1.546,1.353,"Tian"
333.73,14703,1.326,1.468,"Tian"
333.81,14706.7,1.289,1.101,"Tian"
333.89,14710.2,1.417,1.277,"Tian"
333.97,14713.8,1.326,1.392,"Tian"
334.05,14717.3,1.322,1.451,"Tian"
334.13,14720.8,1.05,1.496,"Tian"
334.21,14724.4,1.334,1.758,"Tian"
334.29,14727.9,1.362,1.703,"Tian"
334.36,14837,1.245,1.559,"Holbourn"
334.46,14842,1.272,1.645,"Holbourn"
334.56,14847,1.427,1.728,"Holbourn"
334.66,14852,1.46,1.462,"Holbourn"
334.76,14856,1.514,1.566,"Holbourn"
334.86,14861,1.59,1.543,"Holbourn"
334.96,14866,1.367,1.404,"Holbourn"
335.06,14871,1.193,1.255,"Holbourn"
335.16,14876,1.156,1.129,"Holbourn"
335.26,14881,1.112,1.308,"Holbourn"
335.36,14886,1.138,1.34,"Holbourn"
335.46,14891,1.249,1.517,"Holbourn"
335.56,14895,1.378,1.462,"Holbourn"
335.66,14900,1.327,1.382,"Holbourn"
335.76,14905,1.218,1.296,"Holbourn"
335.86,14910,1.437,1.169,"Holbourn"
335.96,14915,1.403,1.293,"Holbourn"
336.06,14920,1.435,1.575,"Holbourn"
336.16,14925,1.255,1.2,"Holbourn"
336.26,14930,1.41,1.351,"Holbourn"
336.36,14934,1.212,1.366,"Holbourn"
336.46,14939,0.975,1.037,"Holbourn"
336.56,14944,1.221,1.511,"Holbourn"
336.66,14949,1.16,0.937,"Holbourn"
336.76,14954,1.324,1.146,"Holbourn"
336.86,14959,1.468,1.668,"Holbourn"
336.96,14964,1.143,1.437,"Holbourn"
337.06,14968,1.164,1.413,"Holbourn"
337.16,14973,1.404,1.46,"Holbourn"
337.26,14978,1.647,1.24,"Holbourn"
337.36,14983,1.414,1.118,"Holbourn"
337.46,14988,1.399,1.495,"Holbourn"
337.56,14993,1.411,1.628,"Holbourn"
337.66,14998,1.467,1.614,"Holbourn"
337.76,15003,1.476,1.473,"Holbourn"
337.86,15007,1.434,1.404,"Holbourn"
337.96,15012,1.588,1.213,"Holbourn"
338.06,15017,1.59,1.45,"Holbourn"
338.16,15022,1.496,1.733,"Holbourn"
338.26,15027,1.29,1.227,"Holbourn"
338.36,15032,1.242,1.321,"Holbourn"
338.46,15037,1.454,1.642,"Holbourn"
338.56,15042,1.438,1.234,"Holbourn"
338.66,15046,1.427,1.287,"Holbourn"
338.76,15051,1.303,1.501,"Holbourn"
338.86,15056,1.588,1.538,"Holbourn"
338.96,15061,1.643,1.489,"Holbourn"
339.06,15066,1.692,1.272,"Holbourn"
339.16,15071,1.7,1.193,"Holbourn"
339.28,15077,1.425,1.088,"Holbourn"
339.36,15081,1.432,1.049,"Holbourn"
339.46,15087,1.448,1.27,"Holbourn"
339.56,15093,1.573,1.501,"Holbourn"
339.66,15100,1.677,1.424,"Holbourn"
339.76,15106,1.591,1.312,"Holbourn"
339.86,15113,1.584,1.343,"Holbourn"
339.96,15119,1.339,1.125,"Holbourn"
340.06,15125,1.373,1.553,"Holbourn"
340.16,15131,1.515,1.638,"Holbourn"
340.26,15138,1.346,1.521,"Holbourn"
340.36,15144,1.234,1.417,"Holbourn"
340.46,15150,1.318,1.214,"Holbourn"
340.56,15156,1.25,1.289,"Holbourn"
340.66,15162,1.177,1.64,"Holbourn"
340.76,15169,1.283,1.516,"Holbourn"
340.86,15175,1.138,1.344,"Holbourn"
340.96,15181,1.101,1.086,"Holbourn"
341.06,15187,1.443,1.113,"Holbourn"
341.16,15193,0.85,0.76,"Holbourn"
341.26,15198,1.191,1.138,"Holbourn"
341.36,15204,1.294,1.329,"Holbourn"
341.46,15208,1.087,1.08,"Holbourn"
341.56,15214,1.354,1.216,"Holbourn"
341.66,15219,1.107,1.081,"Holbourn"
341.76,15224,1.093,1.214,"Holbourn"
341.86,15229,1.504,1.268,"Holbourn"
341.96,15233,1.18,1.049,"Holbourn"
342.06,15240,0.913,1.175,"Holbourn"
342.16,15247,1.276,1.518,"Holbourn"
342.26,15254,1.475,1.85,"Holbourn"
342.36,15261,1.543,1.718,"Holbourn"
342.46,15268,1.301,1.326,"Holbourn"
342.56,15275,1.338,1.586,"Holbourn"
342.62,15279,1.33,1.39,"Holbourn"
342.72,15286,1.28,1.1,"Holbourn"
342.82,15290,1.15,1.11,"Holbourn"
342.92,15294,1.34,1.48,"Holbourn"
343.02,15298,1.33,1.53,"Holbourn"
343.12,15302,1.32,1.43,"Holbourn"
343.22,15306,1.23,1.38,"Holbourn"
343.32,15309,1.14,1.37,"Holbourn"
343.42,15313,1.35,1.44,"Holbourn"
343.52,15317,1.48,1.68,"Holbourn"
343.62,15321,1.43,1.23,"Holbourn"
343.72,15325,1.46,1.06,"Holbourn"
343.92,15332,1.28,1.4,"Holbourn"
344.02,15336,1.42,1.76,"Holbourn"
344.12,15339,1.37,1.69,"Holbourn"
344.22,15343,1.39,1.3,"Holbourn"
344.32,15346,1.6,1.27,"Holbourn"
344.42,15350,1.45,1.22,"Holbourn"
344.52,15353,1.3,1.66,"Holbourn"
344.62,15357,1.47,1.41,"Holbourn"
344.72,15360,1.61,1.12,"Holbourn"
344.82,15364,1.46,1.55,"Holbourn"
344.92,15367,1.13,1.11,"Holbourn"
345.02,15371,1.36,1.63,"Holbourn"
345.12,15374,1.57,1.66,"Holbourn"
345.22,15378,1.52,1.56,"Holbourn"
345.32,15381,1.49,1.52,"Holbourn"
345.42,15385,1.52,1.49,"Holbourn"
345.52,15388,1.62,1.33,"Holbourn"
345.62,15392,1.37,1.19,"Holbourn"
345.72,15395,1.35,1.16,"Holbourn"
345.82,15399,1.52,1.11,"Holbourn"
345.92,15402,1.05,1.04,"Holbourn"
346.02,15405,1.26,1.23,"Holbourn"
346.12,15408,1.63,1.47,"Holbourn"
346.22,15411,1.47,1.28,"Holbourn"
346.26,15412,1.653,1.502,"Holbourn"
346.36,15415,1.701,1.556,"Holbourn"
346.46,15418,1.642,1.531,"Holbourn"
346.96,15433,1.521,1.843,"Holbourn"
347.06,15436,1.654,1.871,"Holbourn"
347.16,15439,1.61,1.884,"Holbourn"
347.26,15442,1.665,1.745,"Holbourn"
347.37,15445,1.733,1.806,"Holbourn"
347.46,15448,1.713,1.624,"Holbourn"
347.56,15451,1.555,1.278,"Holbourn"
347.66,15454,1.723,1.478,"Holbourn"
347.76,15457,1.572,1.229,"Holbourn"
347.86,15460,1.406,1.189,"Holbourn"
347.96,15462,1.323,1.058,"Holbourn"
348.06,15465,1.332,1.255,"Holbourn"
348.16,15468,1.616,1.876,"Holbourn"
348.26,15471,1.477,1.521,"Holbourn"
348.36,15474,1.502,1.291,"Holbourn"
348.46,15477,1.407,1.187,"Holbourn"
348.57,15481,1.684,1.205,"Holbourn"
348.66,15485,1.465,1.163,"Holbourn"
348.76,15489,1.063,1.005,"Holbourn"
348.86,15493,1.015,0.962,"Holbourn"
348.94,15496,1.527,1.705,"Holbourn"
349.06,15501,1.396,1.536,"Holbourn"
349.16,15506,1.504,1.672,"Holbourn"
349.26,15510,1.548,1.511,"Holbourn"
349.36,15514,1.307,1.297,"Holbourn"
349.47,15518,1.431,1.449,"Holbourn"
349.56,15522,1.37,1.469,"Holbourn"
349.66,15526,1.482,1.538,"Holbourn"
349.76,15530,1.569,1.562,"Holbourn"
349.86,15535,1.492,1.589,"Holbourn"
349.96,15539,1.571,1.659,"Holbourn"
350.06,15543,1.494,1.589,"Holbourn"
350.17,15547,1.445,1.493,"Holbourn"
350.21,15549,1.329,1.589,"Holbourn"
350.31,15553,1.426,1.837,"Holbourn"
350.41,15557,1.246,1.466,"Holbourn"
350.51,15562,1.136,1.185,"Holbourn"
350.61,15566,0.725,0.651,"Holbourn"
350.71,15570,0.707,0.543,"Holbourn"
350.81,15572,0.8,0.776,"Holbourn"
350.91,15575,1.242,1.203,"Holbourn"
351.01,15578,0.861,0.662,"Holbourn"
351.11,15581,0.763,0.551,"Holbourn"
351.21,15584,0.606,0.559,"Holbourn"
351.31,15587,1.135,0.909,"Holbourn"
351.41,15590,0.956,0.816,"Holbourn"
351.51,15593,0.664,0.386,"Holbourn"
351.61,15597,0.538,0.515,"Holbourn"
351.63,15598,1.12,0.76,"Holbourn"
351.73,15603,0.82,0.49,"Holbourn"
351.83,15608,0.97,1.07,"Holbourn"
351.93,15613,1.25,1.41,"Holbourn"
352.03,15617,1.48,1.73,"Holbourn"
352.13,15622,1.3,1.68,"Holbourn"
352.23,15627,1.27,1.72,"Holbourn"
352.33,15632,1.41,1.7,"Holbourn"
352.43,15637,1.59,1.77,"Holbourn"
352.53,15642,1.59,1.75,"Holbourn"
352.63,15647,1.45,1.75,"Holbourn"
352.73,15652,1.17,1.76,"Holbourn"
352.83,15657,1.39,1.72,"Holbourn"
352.93,15661,1.38,1.66,"Holbourn"
353.03,15666,1.13,1.37,"Holbourn"
353.13,15671,1.16,1.37,"Holbourn"
353.23,15676,1.2,1.5,"Holbourn"
353.33,15681,1.37,1.63,"Holbourn"
353.43,15686,1.34,1.7,"Holbourn"
353.53,15691,1.19,1.22,"Holbourn"
353.63,15696,1.39,1.39,"Holbourn"
353.73,15700,1.41,1.39,"Holbourn"
353.83,15705,1.25,1.16,"Holbourn"
353.93,15710,1.11,1.07,"Holbourn"
354.03,15715,1.6,1.45,"Holbourn"
354.13,15720,1.31,1.22,"Holbourn"
354.23,15726,1.32,1.33,"Holbourn"
354.33,15733,1.61,1.74,"Holbourn"
354.43,15740,1.62,1.64,"Holbourn"
354.53,15747,1.48,1.51,"Holbourn"
354.63,15753,1.47,1.58,"Holbourn"
354.73,15760,1.63,1.76,"Holbourn"
354.83,15767,1.54,1.62,"Holbourn"
354.93,15773,1.54,1.52,"Holbourn"
355.03,15780,1.64,1.45,"Holbourn"
355.13,15787,1.68,1.55,"Holbourn"
355.23,15794,1.5,1.46,"Holbourn"
355.33,15800,1.34,1.38,"Holbourn"
355.43,15804,1.23,1.49,"Holbourn"
355.53,15808,1.55,1.65,"Holbourn"
355.63,15812,1.48,1.75,"Holbourn"
355.73,15816,1.66,1.7,"Holbourn"
355.83,15820,1.76,1.5,"Holbourn"
355.93,15824,1.72,1.45,"Holbourn"
356.03,15828,1.49,1.33,"Holbourn"
356.13,15832,1.64,1.65,"Holbourn"
356.23,15836,1.79,1.67,"Holbourn"
356.33,15840,1.63,1.68,"Holbourn"
356.43,15844,1.66,1.74,"Holbourn"
356.53,15848,1.7,1.71,"Holbourn"
356.63,15852,1.68,1.66,"Holbourn"
356.73,15856,1.56,1.669,"Holbourn"
356.83,15860,1.717,1.47,"Holbourn"
356.93,15864,1.636,1.453,"Holbourn"
357.03,15868,1.534,1.394,"Holbourn"
357.13,15872,1.6,1.449,"Holbourn"
357.23,15876,1.77,1.54,"Holbourn"
357.31,15880,1.669,1.627,"Holbourn"
357.43,15884,1.404,1.202,"Holbourn"
357.51,15888,1.817,1.303,"Holbourn"
357.63,15893,1.337,0.999,"Holbourn"
357.75,15899,1.548,1.777,"Holbourn"
357.83,15903,1.409,1.486,"Holbourn"
357.93,15908,1.579,1.85,"Holbourn"
358.03,15913,1.568,1.281,"Holbourn"
358.14,15919,1.61,1.784,"Holbourn"
358.2,15922,1.56,1.38,"Holbourn"
358.32,15928,1.58,1.86,"Holbourn"
358.42,15933,1.634,1.655,"Holbourn"
358.55,15940,1.562,1.642,"Holbourn"
358.62,15944,1.71,1.49,"Holbourn"
358.72,15949,1.574,1.614,"Holbourn"
358.82,15954,1.479,1.566,"Holbourn"
358.92,15959,1.459,1.43,"Holbourn"
359.02,15964,1.257,1.543,"Holbourn"
359.12,15970,1.285,1.373,"Holbourn"
359.2,15974,1.292,1.427,"Holbourn"
359.32,15980,1.001,1.012,"Holbourn"
359.42,15985,1.052,0.927,"Holbourn"
359.52,15990,1.298,1.119,"Holbourn"
359.62,15996,1.002,0.703,"Holbourn"
359.83,16006,1.163,0.732,"Holbourn"
359.92,16011,1.081,0.691,"Holbourn"
360.02,16017,0.986,0.857,"Holbourn"
360.13,16023,1.51,1.633,"Holbourn"
360.22,16028,1.605,1.677,"Holbourn"
360.32,16034,1.435,1.358,"Holbourn"
360.42,16039,1.398,1.305,"Holbourn"
360.52,16045,1.466,1.347,"Holbourn"
360.6,16049,1.463,1.164,"Holbourn"
360.69,16054,1.659,1.39,"Holbourn"
360.78,16059,1.459,1.444,"Holbourn"
360.87,16065,1.477,1.353,"Holbourn"
361.02,16073,1.5,1.298,"Holbourn"
361.12,16079,1.48,1.184,"Holbourn"
361.22,16084,1.534,1.353,"Holbourn"
361.32,16090,1.624,1.416,"Holbourn"
361.42,16095,1.752,1.414,"Holbourn"
361.51,16100,1.722,1.465,"Holbourn"
361.62,16107,1.511,1.01,"Holbourn"
361.72,16112,1.511,1.133,"Holbourn"
361.82,16118,1.22,1.105,"Holbourn"
361.92,16124,1.291,1.325,"Holbourn"
362.02,16129,1.263,1.426,"Holbourn"
362.12,16135,1.388,1.506,"Holbourn"
362.34,16147,1.213,1.38,"Holbourn"
362.42,16152,1.305,1.281,"Holbourn"
362.54,16159,1.251,1.265,"Holbourn"
362.63,16164,1.204,1.181,"Holbourn"
362.77,16172,1.294,0.889,"Holbourn"
362.85,16176,1.484,1.106,"Holbourn"
362.91,16179,1.403,0.988,"Holbourn"
363.03,16186,1.166,1.456,"Holbourn"
363.13,16192,1.089,1.276,"Holbourn"
363.19,16195,1.195,1.341,"Holbourn"
363.33,16203,1.109,1.305,"Holbourn"
363.43,16208,1.25,1.22,"Holbourn"
363.53,16214,1.112,1.236,"Holbourn"
363.63,16220,1.075,1.166,"Holbourn"
363.73,16225,1.231,1.208,"Holbourn"
363.83,16231,1.325,1.284,"Holbourn"
363.93,16236,1.325,1.313,"Holbourn"
364.03,16242,1.241,1.1,"Holbourn"
364.13,16248,1.252,1.221,"Holbourn"
364.23,16253,1.226,1.148,"Holbourn"
364.33,16259,1.094,1.204,"Holbourn"
364.43,16265,1.114,1.379,"Holbourn"
364.53,16270,1.201,1.661,"Holbourn"
364.63,16276,1.227,1.32,"Holbourn"
364.73,16281,1.322,1.462,"Holbourn"
364.83,16287,1.335,1.396,"Holbourn"
364.93,16293,1.135,1.369,"Holbourn"
365.03,16298,1.301,1.28,"Holbourn"
365.13,16304,1.211,1.552,"Holbourn"
365.23,16310,1.144,1.313,"Holbourn"
365.33,16315,0.98,1.543,"Holbourn"
365.43,16321,0.999,1.358,"Holbourn"
365.53,16326,1.033,1.43,"Holbourn"
365.63,16332,0.999,1.39,"Holbourn"
365.73,16338,0.857,1.064,"Holbourn"
365.76,16339,0.981,0.904,"Holbourn"
365.83,16344,1.105,1.064,"Holbourn"
365.92,16351,1.209,1.082,"Holbourn"
366.03,16359,1.009,0.998,"Holbourn"
366.12,16366,0.921,0.865,"Holbourn"
366.23,16374,1.147,1.402,"Holbourn"
366.33,16381,1.212,1.499,"Holbourn"
366.44,16390,1.011,1.196,"Holbourn"
366.53,16396,1.054,1.124,"Holbourn"
366.63,16404,1.031,1.261,"Holbourn"
366.74,16412,1.191,1.005,"Holbourn"
366.84,16419,1.012,1.171,"Holbourn"
366.94,16427,1.002,1.26,"Holbourn"
367.04,16434,1.014,1.166,"Holbourn"
367.14,16442,1.133,1.074,"Holbourn"
367.24,16449,0.845,0.786,"Holbourn"
367.33,16456,0.755,0.655,"Holbourn"
367.42,16461,1.278,0.985,"Holbourn"
367.55,16469,1.218,1.225,"Holbourn"
367.65,16474,0.968,1.126,"Holbourn"
367.74,16480,1.022,1.19,"Holbourn"
367.85,16486,1.121,1.295,"Holbourn"
367.95,16492,1.152,1.223,"Holbourn"
368.05,16498,1.208,1.119,"Holbourn"
368.13,16502,1.103,1.047,"Holbourn"
368.24,16509,1.07,1.029,"Holbourn"
368.33,16514,1.011,0.996,"Holbourn"
368.41,16518,1.225,1.183,"Holbourn"
368.54,16526,1.155,1.214,"Holbourn"
368.63,16531,1.306,1.283,"Holbourn"
368.73,16537,1.252,0.911,"Holbourn"
368.84,16543,1.3,1.042,"Holbourn"
368.93,16548,1.144,1.041,"Holbourn"
369.06,16556,0.976,0.974,"Holbourn"
369.16,16562,1.012,1.302,"Holbourn"
369.24,16566,1.348,1.412,"Holbourn"
369.35,16573,1.393,1.446,"Holbourn"
369.46,16579,1.267,1.041,"Holbourn"
369.56,16585,1.257,1.101,"Holbourn"
369.66,16590,1.339,1.228,"Holbourn"
369.76,16596,1.302,1.08,"Holbourn"
369.86,16602,1.326,0.991,"Holbourn"
369.95,16607,1.367,1.035,"Holbourn"
370.05,16613,1.155,1.21,"Holbourn"
370.17,16620,1.361,1.491,"Holbourn"
370.26,16625,1.329,1.531,"Holbourn"
370.36,16631,1.293,1.553,"Holbourn"
370.44,16635,1.389,1.515,"Holbourn"
370.56,16642,1.37,1.454,"Holbourn"
370.66,16648,1.207,1.095,"Holbourn"
370.76,16654,0.954,1.027,"Holbourn"
370.86,16660,0.75,1.031,"Holbourn"
370.96,16665,0.986,1.347,"Holbourn"
371.04,16670,1.01,1.374,"Holbourn"
371.16,16677,0.994,1.297,"Holbourn"
371.26,16683,0.874,1.122,"Holbourn"
371.32,16686,0.914,1.541,"Holbourn"
371.42,16692,0.929,1.536,"Holbourn"
371.53,16698,0.906,1.459,"Holbourn"
371.62,16704,0.83,1.359,"Holbourn"
371.72,16709,0.798,1.178,"Holbourn"
371.82,16715,0.982,1.154,"Holbourn"
371.92,16721,1.022,1.285,"Holbourn"
372.02,16727,0.699,1.079,"Holbourn"
372.1,16731,0.607,1.025,"Holbourn"
372.2,16737,0.537,1.031,"Holbourn"
372.32,16744,0.511,1.203,"Holbourn"
372.42,16750,0.666,1.376,"Holbourn"
372.52,16755,0.813,1.431,"Holbourn"
372.62,16761,0.693,1.143,"Holbourn"
372.72,16767,0.776,1.047,"Holbourn"
372.81,16772,0.683,1.314,"Holbourn"
373.02,16784,0.687,1.123,"Holbourn"
373.13,16791,0.322,0.966,"Holbourn"
373.21,16795,0.795,1.485,"Holbourn"
373.29,16800,0.775,1.295,"Holbourn"
373.42,16807,0.619,0.744,"Holbourn"
373.51,16813,0.829,1.096,"Holbourn"
373.64,16821,0.887,1.358,"Holbourn"
373.73,16826,0.691,1.148,"Holbourn"
373.81,16831,0.638,1.259,"Holbourn"
373.91,16837,0.635,1.221,"Holbourn"
374.02,16844,0.721,1.258,"Holbourn"
374.12,16850,0.742,1.311,"Holbourn"
374.2,16855,0.381,0.898,"Holbourn"
374.32,16863,0.623,1.306,"Holbourn"
374.44,16870,0.785,1.248,"Holbourn"
374.52,16875,0.468,1.063,"Holbourn"
374.62,16881,0.653,1.021,"Holbourn"
374.72,16887,0.681,0.997,"Holbourn"
374.82,16894,0.579,0.867,"Holbourn"
374.92,16900,0.55,1.185,"Holbourn"
375.02,16905,0.795,1.192,"Holbourn"
375.12,16911,0.87,1.311,"Holbourn"
375.21,16916,0.87,1.324,"Holbourn"
375.34,16923,0.941,1.084,"Holbourn"
375.42,16928,1.003,1.513,"Holbourn"
375.52,16934,0.921,1.601,"Holbourn"
375.61,16939,0.973,1.523,"Holbourn"
375.69,16944,1.044,1.693,"Holbourn"
375.83,16952,0.788,1.526,"Holbourn"
375.92,16958,0.836,1.696,"Holbourn"
376.03,16964,0.843,1.948,"Holbourn"
376.13,16970,0.883,1.86,"Holbourn"
376.21,16975,0.796,1.721,"Holbourn"
376.3,16980,0.954,1.799,"Holbourn"
376.42,16988,0.85,1.627,"Holbourn"
376.54,16995,0.784,1.622,"Holbourn"
376.62,17000,0.665,1.608,"Holbourn"
376.72,17006,0.803,1.6,"Holbourn"
376.82,17012,0.82,1.611,"Holbourn"
376.92,17018,0.865,1.682,"Holbourn"
377.03,17024,0.958,1.627,"Holbourn"
377.12,17030,0.86,1.613,"Holbourn"
377.22,17036,0.86,1.537,"Holbourn"
377.34,17043,0.945,1.803,"Holbourn"
377.41,17047,0.88,1.521,"Holbourn"
377.53,17054,0.827,1.45,"Holbourn"
377.61,17059,0.854,1.684,"Holbourn"
377.72,17066,0.82,1.654,"Holbourn"
377.82,17072,0.922,1.862,"Holbourn"
377.92,17078,0.872,1.472,"Holbourn"
378.02,17084,0.905,1.446,"Holbourn"
378.12,17090,0.582,1.308,"Holbourn"
378.21,17095,0.589,0.843,"Holbourn"
378.31,17100,0.772,1.671,"Holbourn"
378.42,17105,0.684,1.371,"Holbourn"
378.52,17110,0.549,1.177,"Holbourn"
378.62,17115,0.91,1.694,"Holbourn"
378.72,17120,0.733,1.523,"Holbourn"
378.84,17126,0.771,1.549,"Holbourn"
378.92,17130,0.958,1.795,"Holbourn"
379.02,17135,0.993,1.804,"Holbourn"
379.13,17141,0.926,1.537,"Holbourn"
379.22,17145,0.858,1.468,"Holbourn"
379.32,17150,0.894,1.665,"Holbourn"
379.42,17155,0.86,1.808,"Holbourn"
379.52,17160,0.879,1.645,"Holbourn"
379.62,17165,0.838,1.639,"Holbourn"
379.72,17170,0.735,1.548,"Holbourn"
379.82,17175,0.853,1.547,"Holbourn"
379.89,17178,0.709,1.699,"Holbourn"
380.03,17185,0.674,1.368,"Holbourn"
380.12,17189,0.592,1.256,"Holbourn"
380.22,17194,0.843,1.823,"Holbourn"
380.32,17199,0.821,1.395,"Holbourn"
380.36,17201,0.89,1.63,"Holbourn"
380.46,17206,0.81,1.52,"Holbourn"
380.56,17210,0.65,1.69,"Holbourn"
380.66,17215,0.9,1.84,"Holbourn"
380.76,17220,0.85,1.78,"Holbourn"
380.86,17225,0.87,1.81,"Holbourn"
380.96,17230,0.8,1.72,"Holbourn"
381.06,17234,0.73,1.76,"Holbourn"
381.16,17239,0.75,1.65,"Holbourn"
381.26,17244,0.75,1.58,"Holbourn"
381.36,17249,0.74,1.63,"Holbourn"
381.46,17253,0.85,1.68,"Holbourn"
381.56,17258,0.73,1.57,"Holbourn"
381.66,17263,0.58,1.54,"Holbourn"
381.76,17268,0.77,1.53,"Holbourn"
381.86,17272,0.69,1.65,"Holbourn"
381.96,17277,0.74,1.54,"Holbourn"
382.06,17282,0.71,1.39,"Holbourn"
382.16,17287,0.76,1.32,"Holbourn"
382.26,17291,0.73,1.1,"Holbourn"
382.36,17296,0.43,1.01,"Holbourn"
382.46,17301,0.33,0.98,"Holbourn"
382.56,17306,0.5,1.37,"Holbourn"
382.66,17310,0.89,1.94,"Holbourn"
